G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,South Dakota State,W,81,75
2,2023-11-10,REG,Southern Mississippi,W,72,54
3,2023-11-14,REG,Heidelberg,W,114,56
4,2023-11-19,REG,Florida International,W,77,71
5,2023-11-20,REG,Utah State,L,62,65
6,2023-11-21,REG,Drake,L,59,79
7,2023-11-28,REG,Nevada-Las Vegas,L,70,72
8,2023-12-05,REG,Bradley,W,67,52
9,2023-12-09,REG,Northern Kentucky,W,77,76
10,2023-12-17,REG,Miami-Hamilton,W,88,45
11,2023-12-21,REG,Gardner-Webb,W,94,90
12,2023-12-30,REG,St. Bonaventure,L,61,62
13,2024-01-02,REG,Northern Illinois,W,73,51
14,2024-01-05,REG,Bowling Green State,W,83,67
15,2024-01-09,REG,Ball State,W,80,76
16,2024-01-12,REG,Buffalo,W,76,59
17,2024-01-16,REG,Western Michigan,W,77,66
18,2024-01-19,REG,Kent State,W,77,71
19,2024-01-23,REG,Ohio,W,67,58
20,2024-01-27,REG,Miami (OH),L,68,70
21,2024-01-30,REG,Eastern Michigan,W,77,46
22,2024-02-02,REG,Toledo,W,77,70
23,2024-02-06,REG,Central Michigan,W,68,47
24,2024-02-10,REG,James Madison,L,59,73
25,2024-02-17,REG,Buffalo,W,73,62
26,2024-02-20,REG,Toledo,L,64,72
27,2024-02-23,REG,Kent State,W,83,70
28,2024-02-27,REG,Ohio,L,67,74
29,2024-03-02,REG,Northern Illinois,W,80,73
30,2024-03-05,REG,Eastern Michigan,L,60,61
31,2024-03-08,REG,Western Michigan,L,84,90
32,2024-03-14,CTOURN,Miami (OH),W,75,63
33,2024-03-15,CTOURN,Ohio,W,65,62
34,2024-03-16,CTOURN,Kent State,W,62,61
35,2024-03-21,NCAA,Creighton (11),L,60,77
