G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Morehead State,W,105,73
2,2023-11-10,REG,Indiana State,W,102,80
3,2023-11-14,REG,South Alabama,W,102,46
4,2023-11-17,REG,Mercer,W,98,67
5,2023-11-24,REG,Ohio State,L,81,92
6,2023-11-25,REG,Oregon,W,99,91
7,2023-11-28,REG,Clemson,L,77,85
8,2023-12-04,REG,Arkansas State,W,89,65
9,2023-12-09,REG,Purdue (4),L,86,92
10,2023-12-16,REG,Creighton (8),L,82,85
11,2023-12-20,REG,Arizona (4),L,74,87
12,2023-12-23,REG,Eastern Kentucky,W,111,67
13,2023-12-30,REG,Liberty,W,101,56
14,2024-01-06,REG,Vanderbilt,W,78,75
15,2024-01-09,REG,South Carolina,W,74,47
16,2024-01-13,REG,Mississippi State,W,82,74
17,2024-01-16,REG,Missouri,W,93,75
18,2024-01-20,REG,Tennessee (6),L,71,91
19,2024-01-24,REG,Auburn (8),W,79,75
20,2024-01-27,REG,Louisiana State,W,109,88
21,2024-01-31,REG,Georgia,W,85,76
22,2024-02-03,REG,Mississippi State,W,99,67
23,2024-02-07,REG,Auburn (12),L,81,99
24,2024-02-10,REG,Louisiana State,W,109,92
25,2024-02-17,REG,Texas A&M,W,100,75
26,2024-02-21,REG,Florida (24),W,98,93
27,2024-02-24,REG,Kentucky (17),L,95,117
28,2024-02-28,REG,Mississippi,W,103,88
29,2024-03-02,REG,Tennessee (4),L,74,81
30,2024-03-05,REG,Florida,L,87,105
31,2024-03-09,REG,Arkansas,W,92,88
32,2024-03-15,CTOURN,Florida,L,88,102
33,2024-03-22,NCAA,College of Charleston,W,109,96
34,2024-03-24,NCAA,Grand Canyon,W,72,61
35,2024-03-28,NCAA,North Carolina (5),W,89,87
36,2024-03-30,NCAA,Clemson,W,89,82
37,2024-04-06,NCAA,Connecticut (1),L,72,86
