G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Morgan State,W,122,59
2,2023-11-10,REG,Duke (2),W,78,73
3,2023-11-13,REG,Southern,W,97,59
4,2023-11-17,REG,Belmont,W,100,68
5,2023-11-19,REG,UT Arlington,W,101,56
6,2023-11-23,REG,Michigan State (21),W,74,68
7,2023-12-02,REG,Colgate,W,82,55
8,2023-12-09,REG,Wisconsin (23),W,98,73
9,2023-12-16,REG,Purdue (3),L,84,92
10,2023-12-20,REG,Alabama,W,87,74
11,2023-12-23,REG,Florida Atlantic (14),L,95,96
12,2023-12-29,REG,California,W,100,81
13,2023-12-31,REG,Stanford,L,82,100
14,2024-01-04,REG,Colorado,W,97,50
15,2024-01-06,REG,Utah,W,92,73
16,2024-01-13,REG,Washington State,L,70,73
17,2024-01-17,REG,Southern California,W,82,67
18,2024-01-20,REG,UCLA,W,77,71
19,2024-01-25,REG,Oregon State,L,80,83
20,2024-01-27,REG,Oregon,W,87,78
21,2024-02-01,REG,California,W,91,65
22,2024-02-04,REG,Stanford,W,82,71
23,2024-02-08,REG,Utah,W,105,99
24,2024-02-10,REG,Colorado,W,99,79
25,2024-02-17,REG,Arizona State,W,105,60
26,2024-02-22,REG,Washington State (21),L,74,77
27,2024-02-24,REG,Washington,W,91,75
28,2024-02-28,REG,Arizona State,W,85,67
29,2024-03-02,REG,Oregon,W,103,83
30,2024-03-07,REG,UCLA,W,88,65
31,2024-03-09,REG,Southern California,L,65,78
32,2024-03-14,CTOURN,Southern California,W,70,49
33,2024-03-15,CTOURN,Oregon,L,59,67
34,2024-03-21,NCAA,Long Beach State,W,85,65
35,2024-03-23,NCAA,Dayton,W,78,68
36,2024-03-28,NCAA,Clemson,L,72,77
