G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-07,REG,Baylor (20),L,82,88
2,2023-11-10,REG,Southeastern Louisiana,W,86,71
3,2023-11-16,REG,Notre Dame,W,83,59
4,2023-11-17,REG,St. Bonaventure,W,77,60
5,2023-11-21,REG,Alabama A&M,W,84,54
6,2023-11-29,REG,Virginia Tech,W,74,57
7,2023-12-03,REG,Appalachian State,L,64,69
8,2023-12-09,REG,Indiana,W,104,76
9,2023-12-13,REG,UNC Asheville,W,87,62
10,2023-12-17,REG,Southern California,W,91,75
11,2023-12-22,REG,Alabama State,W,82,62
12,2023-12-30,REG,Chattanooga,W,101,66
13,2024-01-02,REG,Pennsylvania,W,88,68
14,2024-01-06,REG,Arkansas,W,83,51
15,2024-01-09,REG,Texas A&M,W,66,55
16,2024-01-13,REG,Louisiana State,W,93,78
17,2024-01-17,REG,Vanderbilt,W,80,65
18,2024-01-20,REG,Mississippi (22),W,82,59
19,2024-01-24,REG,Alabama,L,75,79
20,2024-01-27,REG,Mississippi State,L,58,64
21,2024-01-31,REG,Vanderbilt,W,81,54
22,2024-02-03,REG,Mississippi,W,91,77
23,2024-02-07,REG,Alabama (16),W,99,81
24,2024-02-10,REG,Florida,L,65,81
25,2024-02-14,REG,South Carolina (11),W,101,61
26,2024-02-17,REG,Kentucky (22),L,59,70
27,2024-02-24,REG,Georgia,W,97,76
28,2024-02-28,REG,Tennessee (4),L,84,92
29,2024-03-02,REG,Mississippi State,W,78,63
30,2024-03-05,REG,Missouri,W,101,74
31,2024-03-09,REG,Georgia,W,92,78
32,2024-03-15,CTOURN,South Carolina (15),W,86,55
33,2024-03-16,CTOURN,Mississippi State,W,73,66
34,2024-03-17,CTOURN,Florida,W,86,67
35,2024-03-22,NCAA,Yale,L,76,78
