G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Houston Christian,W,110,63
2,2023-11-10,REG,San Diego State (17),W,74,65
3,2023-11-15,REG,Southeastern Louisiana,W,105,48
4,2023-11-18,REG,Morgan State,W,93,50
5,2023-11-24,REG,Arizona State,W,77,49
6,2023-11-24,REG,NC State,W,95,86
7,2023-12-01,REG,Fresno State,W,85,56
8,2023-12-05,REG,Evansville,W,96,55
9,2023-12-09,REG,Utah,L,69,73
10,2023-12-13,REG,Denver,W,90,74
11,2023-12-16,REG,Georgia State,W,86,54
12,2023-12-22,REG,Bellarmine,W,101,59
13,2023-12-30,REG,Wyoming,W,94,68
14,2024-01-06,REG,Cincinnati,L,60,71
15,2024-01-09,REG,Baylor (14),L,72,81
16,2024-01-13,REG,UCF,W,63,58
17,2024-01-16,REG,Iowa State (24),W,87,72
18,2024-01-20,REG,Texas Tech (25),L,78,85
19,2024-01-23,REG,Houston (4),L,68,75
20,2024-01-27,REG,Texas,W,84,72
21,2024-02-03,REG,West Virginia,W,86,73
22,2024-02-06,REG,Oklahoma,L,66,82
23,2024-02-10,REG,Kansas State,W,72,66
24,2024-02-13,REG,UCF,W,90,88
25,2024-02-17,REG,Oklahoma State,L,83,93
26,2024-02-20,REG,Baylor (11),W,78,71
27,2024-02-24,REG,Kansas State,L,74,84
28,2024-02-27,REG,Kansas (7),W,76,68
29,2024-03-02,REG,TCU,W,87,75
30,2024-03-06,REG,Iowa State (6),L,63,68
31,2024-03-09,REG,Oklahoma State,W,85,71
32,2024-03-13,CTOURN,UCF,W,87,73
33,2024-03-14,CTOURN,Texas Tech (25),L,67,81
