G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-07,REG,Auburn,W,88,82
2,2023-11-09,REG,John Brown,W,96,70
3,2023-11-12,REG,Gardner-Webb,W,77,62
4,2023-11-14,REG,Kansas City,W,99,61
5,2023-11-22,NIT,Oregon State,W,88,72
6,2023-11-24,NIT,Florida,W,95,91
7,2023-11-28,REG,Nicholls State,W,108,70
8,2023-12-02,REG,Northwestern State,W,91,40
9,2023-12-05,REG,Seton Hall,W,78,60
10,2023-12-16,REG,Michigan State,L,64,88
11,2023-12-20,REG,Duke (21),L,70,78
12,2023-12-22,REG,Mississippi Valley State,W,107,48
13,2024-01-02,REG,Cornell,W,98,79
14,2024-01-06,REG,Oklahoma State,W,75,70
15,2024-01-09,REG,Brigham Young (18),W,81,72
16,2024-01-13,REG,Cincinnati,W,62,59
17,2024-01-16,REG,Kansas State,L,64,68
18,2024-01-20,REG,Texas,L,73,75
19,2024-01-27,REG,TCU,L,102,105
20,2024-01-31,REG,UCF,W,77,69
21,2024-02-03,REG,Iowa State (12),W,70,68
22,2024-02-06,REG,Texas Tech (23),W,79,73
23,2024-02-10,REG,Kansas (4),L,61,64
24,2024-02-13,REG,Oklahoma (25),W,79,62
25,2024-02-17,REG,West Virginia,W,94,81
26,2024-02-20,REG,Brigham Young (25),L,71,78
27,2024-02-24,REG,Houston (2),L,76,82
28,2024-02-26,REG,TCU,W,62,54
29,2024-03-02,REG,Kansas (7),W,82,74
30,2024-03-04,REG,Texas,W,93,85
31,2024-03-09,REG,Texas Tech,L,68,78
32,2024-03-14,CTOURN,Cincinnati,W,68,56
33,2024-03-15,CTOURN,Iowa State (7),L,62,76
34,2024-03-22,NCAA,Colgate,W,92,67
35,2024-03-24,NCAA,Clemson,L,64,72
