G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-07,REG,Vanguard,W,89,55
2,2023-11-12,REG,San Francisco,W,63,58
3,2023-11-19,REG,Clemson,L,68,85
4,2023-11-23,REG,Virginia Tech,L,75,82
5,2023-11-24,REG,Virginia Commonwealth,W,65,61
6,2023-11-26,REG,Butler,L,56,70
7,2023-12-01,REG,Saint Mary's (CA),W,63,60
8,2023-12-05,REG,North Texas,W,69,64
9,2023-12-09,REG,Western Oregon,W,109,70
10,2023-12-12,REG,Northwestern State,W,95,54
11,2023-12-17,REG,Cal State Fullerton,W,88,65
12,2023-12-21,REG,Washington State,L,61,66
13,2023-12-29,REG,Utah Valley,W,85,63
14,2024-01-05,REG,San Jose State,W,78,69
15,2024-01-09,REG,Colorado State (17),W,65,58
16,2024-01-12,REG,Nevada,W,64,56
17,2024-01-16,REG,Nevada-Las Vegas,L,64,68
18,2024-01-20,REG,San Diego State,W,67,66
19,2024-01-23,REG,Fresno State,W,72,68
20,2024-01-27,REG,Utah State (18),L,84,90
21,2024-01-31,REG,New Mexico (19),W,86,78
22,2024-02-03,REG,Air Force,W,94,56
23,2024-02-06,REG,Colorado State,L,62,75
24,2024-02-10,REG,Utah State (22),L,61,80
25,2024-02-17,REG,Fresno State,W,90,66
26,2024-02-20,REG,San Jose State,W,82,50
27,2024-02-24,REG,Wyoming,W,92,72
28,2024-02-27,REG,Air Force,W,79,48
29,2024-03-02,REG,New Mexico,W,89,79
30,2024-03-05,REG,Nevada,L,66,76
31,2024-03-08,REG,San Diego State (21),W,79,77
32,2024-03-14,CTOURN,New Mexico,L,66,76
33,2024-03-20,NCAA,Colorado,L,53,60
