G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Winthrop,W,78,56
2,2023-11-10,REG,UAB,W,77,76
3,2023-11-12,REG,Davidson,W,68,65
4,2023-11-19,REG,Boise State,W,85,68
5,2023-11-24,REG,Alcorn State,W,90,69
6,2023-11-28,REG,Alabama (23),W,85,77
7,2023-12-03,REG,Pittsburgh,W,79,70
8,2023-12-06,REG,South Carolina,W,72,67
9,2023-12-09,REG,TCU,W,74,66
10,2023-12-16,REG,Memphis,L,77,79
11,2023-12-22,REG,Queens (NC),W,109,79
12,2023-12-29,REG,Radford,W,93,58
13,2024-01-03,REG,Miami (FL),L,82,95
14,2024-01-06,REG,North Carolina (8),L,55,65
15,2024-01-10,REG,Virginia Tech,L,72,87
16,2024-01-13,REG,Boston College,W,89,78
17,2024-01-16,REG,Georgia Tech,L,90,93
18,2024-01-20,REG,Florida State,W,78,67
19,2024-01-27,REG,Duke (12),L,71,72
20,2024-01-30,REG,Louisville,W,70,64
21,2024-02-03,REG,Virginia,L,65,66
22,2024-02-06,REG,North Carolina (3),W,80,76
23,2024-02-10,REG,Syracuse,W,77,68
24,2024-02-14,REG,Miami (FL),W,77,60
25,2024-02-17,REG,NC State,L,77,78
26,2024-02-21,REG,Georgia Tech,W,81,57
27,2024-02-24,REG,Florida State,W,74,63
28,2024-02-27,REG,Pittsburgh,W,69,62
29,2024-03-02,REG,Notre Dame,L,62,69
30,2024-03-05,REG,Syracuse,W,90,75
31,2024-03-09,REG,Wake Forest,L,76,81
