G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Iona,W,71,69
2,2023-11-10,REG,Duquesne,L,72,90
3,2023-11-16,REG,Vermont,L,64,73
4,2023-11-17,REG,Wyoming,L,60,67
5,2023-11-19,REG,Coastal Carolina,W,80,72
6,2023-11-26,REG,Kent State,W,84,78
7,2023-12-01,REG,Liberty,W,76,67
8,2023-12-02,REG,Florida Atlantic (13),L,74,90
9,2023-12-10,REG,Rhode Island,W,85,70
10,2023-12-14,REG,The Citadel,W,86,71
11,2023-12-18,REG,Coastal Carolina,W,84,81
12,2023-12-21,REG,Saint Joseph's,W,89,82
13,2023-12-29,REG,Montreat,W,96,59
14,2024-01-04,REG,Hofstra,W,73,61
15,2024-01-06,REG,Stony Brook,W,93,87
16,2024-01-11,REG,Elon,W,80,62
17,2024-01-13,REG,Monmouth,W,94,83
18,2024-01-18,REG,Towson,L,78,82
19,2024-01-20,REG,UNC Wilmington,L,69,78
20,2024-01-25,REG,Hampton,W,107,86
21,2024-01-27,REG,Campbell,W,90,67
22,2024-02-01,REG,UNC Wilmington,L,74,80
23,2024-02-03,REG,William & Mary,W,84,83
24,2024-02-08,REG,North Carolina A&T,W,80,58
25,2024-02-10,REG,Drexel,W,80,70
26,2024-02-15,REG,Northeastern,W,77,73
27,2024-02-19,REG,William & Mary,W,65,57
28,2024-02-22,REG,Delaware,W,90,71
29,2024-02-24,REG,Towson,W,72,56
30,2024-02-29,REG,Campbell,W,96,73
31,2024-03-02,REG,Hofstra,W,87,76
32,2024-03-10,CTOURN,Monmouth,W,83,59
33,2024-03-11,CTOURN,Towson,W,61,56
34,2024-03-12,CTOURN,Stony Brook,W,82,79
35,2024-03-22,NCAA,Alabama (19),L,96,109
