G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Brown,W,72,70
2,2023-11-14,REG,Syracuse,L,75,79
3,2023-11-17,REG,Yale,L,50,68
4,2023-11-18,REG,Gardner-Webb,W,59,52
5,2023-11-19,REG,Weber State,W,57,55
6,2023-11-22,REG,Harvard,L,70,76
7,2023-11-29,REG,Binghamton,W,84,49
8,2023-12-02,REG,Arizona (2),L,55,82
9,2023-12-06,REG,Vermont State–Lyndon,W,115,37
10,2023-12-09,REG,Vermont,W,77,71
11,2023-12-17,REG,Illinois (16),L,57,74
12,2023-12-21,REG,Iona,L,65,85
13,2023-12-30,REG,Cornell,L,64,77
14,2024-01-03,REG,Loyola (MD),W,78,55
15,2024-01-06,REG,Navy,W,80,72
16,2024-01-10,REG,Lafayette,L,64,69
17,2024-01-13,REG,Bucknell,W,84,73
18,2024-01-17,REG,Army,W,64,56
19,2024-01-20,REG,Boston University,W,75,59
20,2024-01-22,REG,Lehigh,W,60,57
21,2024-01-27,REG,American,W,73,54
22,2024-01-31,REG,Army,W,74,55
23,2024-02-03,REG,Navy,W,88,64
24,2024-02-07,REG,Boston University,W,74,64
25,2024-02-10,REG,Loyola (MD),W,76,62
26,2024-02-14,REG,Holy Cross,W,85,55
27,2024-02-17,REG,Bucknell,W,62,50
28,2024-02-19,REG,Lafayette,W,67,62
29,2024-02-25,REG,American,L,64,66
30,2024-02-28,REG,Holy Cross,W,77,58
31,2024-03-02,REG,Lehigh,W,63,60
32,2024-03-07,CTOURN,Holy Cross,W,81,64
33,2024-03-10,CTOURN,Bucknell,W,68,65
34,2024-03-13,CTOURN,Lehigh,W,74,55
35,2024-03-22,NCAA,Baylor (14),L,67,92
