G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Towson,W,75,57
2,2023-11-10,REG,Grambling,W,95,63
3,2023-11-14,REG,Milwaukee,W,106,79
4,2023-11-20,REG,Richmond,W,64,59
5,2023-11-21,REG,Florida State,L,71,77
6,2023-11-26,REG,Iona,W,85,68
7,2023-11-29,REG,Colorado State (20),L,83,88
8,2023-12-03,REG,Pepperdine,W,91,66
9,2023-12-10,REG,Miami (FL) (15),W,90,63
10,2023-12-15,REG,Northern Colorado,W,90,68
11,2023-12-21,REG,Utah Tech,W,98,71
12,2023-12-29,REG,Washington,W,73,69
13,2023-12-31,REG,Washington State,W,74,67
14,2024-01-04,REG,Arizona (10),L,50,97
15,2024-01-06,REG,Arizona State,L,73,76
16,2024-01-10,REG,California,L,78,82
17,2024-01-13,REG,Southern California,W,68,58
18,2024-01-18,REG,Oregon,W,86,70
19,2024-01-20,REG,Oregon State,W,90,57
20,2024-01-24,REG,Washington,W,98,81
21,2024-01-27,REG,Washington State,L,69,78
22,2024-02-03,REG,Utah,L,68,73
23,2024-02-08,REG,Arizona State,W,82,70
24,2024-02-10,REG,Arizona (8),L,79,99
25,2024-02-15,REG,UCLA,L,60,64
26,2024-02-17,REG,Southern California,W,92,89
27,2024-02-24,REG,Utah,W,89,65
28,2024-02-28,REG,California,W,88,78
29,2024-03-03,REG,Stanford,W,81,71
30,2024-03-07,REG,Oregon,W,79,75
31,2024-03-09,REG,Oregon State,W,73,57
32,2024-03-14,CTOURN,Utah,W,72,58
33,2024-03-15,CTOURN,Washington State (22),W,58,52
34,2024-03-16,CTOURN,Oregon,L,68,75
35,2024-03-20,NCAA,Boise State,W,60,53
36,2024-03-22,NCAA,Florida,W,102,100
37,2024-03-24,NCAA,Marquette (8),L,77,81
