G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Louisiana Tech,W,81,73
2,2023-11-10,REG,Wright State,W,105,77
3,2023-11-14,REG,Northern Colorado,W,83,64
4,2023-11-17,REG,Kansas City,W,84,61
5,2023-11-22,REG,Boston College,W,86,74
6,2023-11-23,REG,Creighton (8),W,69,48
7,2023-11-29,REG,Colorado,W,88,83
8,2023-12-02,REG,Washington,W,86,81
9,2023-12-06,REG,Denver,W,90,80
10,2023-12-09,REG,Saint Mary's (CA),L,61,64
11,2023-12-17,REG,Colorado State-Pueblo,W,86,54
12,2023-12-22,REG,Loyola Marymount,W,76,67
13,2023-12-29,REG,Adams State,W,106,61
14,2024-01-02,REG,New Mexico,W,76,68
15,2024-01-06,REG,Utah State,L,72,77
16,2024-01-09,REG,Boise State,L,58,65
17,2024-01-16,REG,Air Force,W,78,69
18,2024-01-19,REG,Nevada-Las Vegas,W,78,75
19,2024-01-24,REG,Nevada,L,64,77
20,2024-01-27,REG,Wyoming,L,76,79
21,2024-01-30,REG,San Diego State,W,79,71
22,2024-02-03,REG,Fresno State,W,73,61
23,2024-02-06,REG,Boise State,W,75,62
24,2024-02-09,REG,San Jose State,W,66,47
25,2024-02-13,REG,San Diego State,L,55,71
26,2024-02-17,REG,Utah State,W,75,55
27,2024-02-21,REG,New Mexico,L,66,68
28,2024-02-24,REG,Nevada-Las Vegas,L,60,66
29,2024-02-27,REG,Nevada,L,74,77
30,2024-03-02,REG,Wyoming,W,70,62
31,2024-03-09,REG,Air Force,W,82,73
32,2024-03-13,CTOURN,San Jose State,W,72,62
33,2024-03-14,CTOURN,Nevada (23),W,85,78
34,2024-03-16,CTOURN,New Mexico,L,61,74
35,2024-03-19,NCAA,Virginia,W,67,42
36,2024-03-21,NCAA,Texas,L,44,56
