G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-07,REG,Florida A&M,W,105,54
2,2023-11-11,REG,North Dakota State,W,89,60
3,2023-11-14,REG,Iowa,W,92,84
4,2023-11-18,REG,Texas Southern,W,82,50
5,2023-11-22,REG,Loyola (IL),W,88,65
6,2023-11-23,REG,Colorado State,L,48,69
7,2023-11-30,REG,Oklahoma State,W,79,65
8,2023-12-03,REG,Nebraska,W,89,60
9,2023-12-09,REG,Central Michigan,W,109,64
10,2023-12-13,REG,Nevada-Las Vegas,L,64,79
11,2023-12-16,REG,Alabama,W,85,82
12,2023-12-20,REG,Villanova,L,66,68
13,2023-12-30,REG,Marquette (10),L,67,72
14,2024-01-02,REG,Georgetown,W,77,60
15,2024-01-06,REG,Providence (23),W,69,60
16,2024-01-09,REG,DePaul,W,84,58
17,2024-01-13,REG,St. John's (NY),W,66,65
18,2024-01-17,REG,Connecticut (1),L,48,62
19,2024-01-20,REG,Seton Hall,W,97,94
20,2024-01-23,REG,Xavier,W,85,78
21,2024-01-27,REG,DePaul,W,85,62
22,2024-02-02,REG,Butler,L,98,99
23,2024-02-07,REG,Providence,L,87,91
24,2024-02-10,REG,Xavier,W,78,71
25,2024-02-13,REG,Georgetown,W,94,72
26,2024-02-17,REG,Butler,W,79,57
27,2024-02-20,REG,Connecticut (1),W,85,66
28,2024-02-25,REG,St. John's (NY),L,66,80
29,2024-02-28,REG,Seton Hall,W,85,64
30,2024-03-02,REG,Marquette (5),W,89,75
31,2024-03-09,REG,Villanova,W,69,67
32,2024-03-14,CTOURN,Providence,L,73,78
33,2024-03-21,NCAA,Akron,W,77,60
34,2024-03-23,NCAA,Oregon,W,86,73
35,2024-03-29,NCAA,Tennessee (6),L,75,82
