G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Southern Illinois-Edwardsville,W,63.0,47.0
2,2023-11-10,REG,Northwestern,L,66.0,71.0
3,2023-11-16,REG,Louisiana State,W,70.0,67.0
4,2023-11-17,REG,St. John's (NY),W,88.0,81.0
5,2023-11-19,REG,Houston (6),L,55.0,69.0
6,2023-11-24,REG,Youngstown State,W,77.0,69.0
7,2023-11-29,REG,Southern Methodist,W,65.0,63.0
8,2023-12-02,REG,Grambling,W,76.0,46.0
9,2023-12-06,REG,Nevada-Las Vegas,,,
10,2023-12-09,REG,Troy,W,82.0,70.0
11,2023-12-16,REG,Cincinnati,W,82.0,68.0
12,2023-12-20,REG,Oakland,W,91.0,67.0
13,2023-12-30,REG,Longwood,W,78.0,69.0
14,2024-01-03,REG,Davidson,W,72.0,59.0
15,2024-01-07,REG,Massachusetts,W,64.0,60.0
16,2024-01-12,REG,Duquesne,W,72.0,62.0
17,2024-01-16,REG,Saint Louis,W,70.0,65.0
18,2024-01-20,REG,Rhode Island,W,96.0,62.0
19,2024-01-23,REG,La Salle,W,66.0,54.0
20,2024-01-27,REG,Richmond,L,64.0,69.0
21,2024-01-30,REG,George Washington,W,83.0,61.0
22,2024-02-02,REG,St. Bonaventure,W,76.0,71.0
23,2024-02-06,REG,Saint Joseph's,W,94.0,79.0
24,2024-02-09,REG,Virginia Commonwealth,L,47.0,49.0
25,2024-02-13,REG,Duquesne,W,75.0,59.0
26,2024-02-17,REG,Fordham,W,78.0,70.0
27,2024-02-21,REG,George Mason,L,67.0,71.0
28,2024-02-27,REG,Davidson,W,80.0,66.0
29,2024-03-01,REG,Loyola (IL),L,72.0,77.0
30,2024-03-05,REG,Saint Louis,W,100.0,83.0
31,2024-03-08,REG,Virginia Commonwealth,W,91.0,86.0
32,2024-03-14,CTOURN,Duquesne,L,57.0,65.0
33,2024-03-21,NCAA,Nevada,W,63.0,60.0
34,2024-03-23,NCAA,Arizona (9),L,68.0,78.0
