G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-08,REG,Lipscomb,W,85,70
2,2023-11-14,REG,Southwest Minnesota State,W,87,67
3,2023-11-19,REG,Oakland,W,85,77
4,2023-11-20,REG,Stephen F. Austin,L,68,92
5,2023-11-21,REG,Akron,W,79,59
6,2023-11-25,REG,Texas Southern,W,77,71
7,2023-11-29,REG,Valparaiso,W,83,65
8,2023-12-02,REG,Missouri State,W,74,57
9,2023-12-06,REG,Saint Louis,W,75,69
10,2023-12-09,REG,Nevada,W,72,53
11,2023-12-14,REG,Grambling,W,68,56
12,2023-12-19,REG,Alcorn State,W,92,55
13,2023-12-22,REG,UAB,L,78,79
14,2024-01-02,REG,Illinois State,W,88,71
15,2024-01-07,REG,Belmont,L,65,87
16,2024-01-10,REG,Indiana State,W,89,78
17,2024-01-13,REG,Southern Illinois,W,76,58
18,2024-01-17,REG,Illinois State,W,77,56
19,2024-01-20,REG,Evansville,W,97,48
20,2024-01-24,REG,Missouri State,L,80,83
21,2024-01-27,REG,Northern Iowa,W,77,63
22,2024-01-31,REG,Valparaiso,W,81,70
23,2024-02-03,REG,Indiana State,L,67,75
24,2024-02-07,REG,Southern Illinois,W,92,88
25,2024-02-10,REG,Bradley,W,74,67
26,2024-02-13,REG,Evansville,W,78,75
27,2024-02-18,REG,Murray State,W,95,72
28,2024-02-21,REG,Belmont,W,84,69
29,2024-02-24,REG,Northern Iowa,L,77,91
30,2024-02-28,REG,Illinois-Chicago,W,107,105
31,2024-03-03,REG,Bradley,W,74,66
32,2024-03-08,CTOURN,Evansville,W,79,58
33,2024-03-09,CTOURN,Bradley,W,72,67
34,2024-03-10,CTOURN,Indiana State,W,84,80
35,2024-03-21,NCAA,Washington State (25),L,61,66
