G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Cleveland State,W,79,77
2,2023-11-10,REG,College of Charleston,W,90,72
3,2023-11-13,REG,Stony Brook,W,85,63
4,2023-11-15,REG,Princeton,L,67,70
5,2023-11-17,REG,Rider,W,77,58
6,2023-11-22,REG,Nebraska,L,79,89
7,2023-11-29,REG,UC Irvine,W,66,62
8,2023-12-06,REG,Marshall,W,85,72
9,2023-12-08,REG,Saint Peter's,W,68,59
10,2023-12-18,REG,Bradley,W,69,67
11,2023-12-23,REG,Santa Clara,L,73,81
12,2023-12-30,REG,Cleary University,W,95,47
13,2024-01-03,REG,Massachusetts,L,61,80
14,2024-01-06,REG,Loyola (IL),L,67,72
15,2024-01-12,REG,Dayton,L,62,72
16,2024-01-16,REG,Richmond,L,61,63
17,2024-01-20,REG,Saint Joseph's,L,69,71
18,2024-01-23,REG,St. Bonaventure,W,54,50
19,2024-01-27,REG,Fordham,W,68,59
20,2024-01-31,REG,Chicago State,W,65,60
21,2024-02-03,REG,Rhode Island,W,85,71
22,2024-02-07,REG,Davidson,L,59,72
23,2024-02-10,REG,St. Bonaventure,W,75,69
24,2024-02-13,REG,Dayton (16),L,59,75
25,2024-02-17,REG,Saint Joseph's,W,66,56
26,2024-02-20,REG,Saint Louis,W,81,66
27,2024-02-23,REG,Fordham,L,67,79
28,2024-02-28,REG,La Salle,W,75,63
29,2024-03-02,REG,George Mason,W,59,51
30,2024-03-05,REG,Virginia Commonwealth,W,69,59
31,2024-03-09,REG,George Washington,W,67,65
32,2024-03-13,CTOURN,Saint Louis,W,83,73
33,2024-03-14,CTOURN,Dayton (24),W,65,57
34,2024-03-16,CTOURN,St. Bonaventure,W,70,60
35,2024-03-17,CTOURN,Virginia Commonwealth,W,57,51
36,2024-03-21,NCAA,Brigham Young (21),W,71,67
37,2024-03-23,NCAA,Illinois (10),L,63,89
