G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-08,REG,Loyola (IL),W,75,62
2,2023-11-14,REG,Eastern Michigan,W,100,57
3,2023-11-18,REG,Bryant,L,52,61
4,2023-11-23,REG,Butler,W,91,86
5,2023-11-24,REG,Texas A&M (12),W,96,89
6,2023-11-26,REG,Virginia Tech,W,84,50
7,2023-11-30,REG,Liberty,W,83,58
8,2023-12-02,REG,College of Charleston,W,90,74
9,2023-12-05,REG,Illinois (20),L,89,98
10,2023-12-13,REG,Florida International,W,94,60
11,2023-12-16,REG,St. Bonaventure,W,64,54
12,2023-12-23,REG,Arizona (4),W,96,95
13,2023-12-30,REG,Florida Gulf Coast,L,68,72
14,2024-01-02,REG,East Carolina,W,79,64
15,2024-01-06,REG,Charlotte,L,68,70
16,2024-01-11,REG,Tulane,W,85,84
17,2024-01-14,REG,UAB,W,86,73
18,2024-01-18,REG,Wichita State,W,86,77
19,2024-01-21,REG,UTSA,W,112,103
20,2024-01-24,REG,Rice,W,69,56
21,2024-01-28,REG,North Texas,W,66,63
22,2024-02-03,REG,Tulsa,W,102,70
23,2024-02-08,REG,UAB,L,73,76
24,2024-02-11,REG,Wichita State,W,95,82
25,2024-02-15,REG,Temple,W,80,68
26,2024-02-18,REG,South Florida,L,86,90
27,2024-02-22,REG,Southern Methodist,W,80,70
28,2024-02-25,REG,Memphis,L,74,78
29,2024-03-02,REG,Tulane,W,79,73
30,2024-03-06,REG,North Texas,W,80,76
31,2024-03-09,REG,Memphis,W,92,84
32,2024-03-15,CTOURN,North Texas,W,77,71
33,2024-03-16,CTOURN,Temple,L,73,74
34,2024-03-22,NCAA,Northwestern,L,65,77
