G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Loyola (MD),W,93,73
2,2023-11-10,REG,Virginia,L,70,73
3,2023-11-14,REG,Florida A&M,W,89,68
4,2023-11-17,REG,Florida State,W,89,68
5,2023-11-22,NIT,Pittsburgh,W,86,71
6,2023-11-24,NIT,Baylor (13),L,91,95
7,2023-11-29,REG,Wake Forest,L,71,82
8,2023-12-05,REG,Merrimack,W,77,57
9,2023-12-09,REG,Richmond,W,87,76
10,2023-12-14,REG,East Carolina,W,70,65
11,2023-12-19,REG,Michigan,W,106,101
12,2023-12-22,REG,Grambling,W,96,57
13,2023-12-30,REG,Quinnipiac,W,97,72
14,2024-01-06,REG,Kentucky (6),L,85,87
15,2024-01-10,REG,Mississippi,L,85,103
16,2024-01-13,REG,Arkansas,W,90,68
17,2024-01-16,REG,Tennessee (6),L,66,85
18,2024-01-20,REG,Missouri,W,79,67
19,2024-01-24,REG,Mississippi State,W,79,70
20,2024-01-27,REG,Georgia,W,102,98
21,2024-01-31,REG,Kentucky (10),W,94,91
22,2024-02-03,REG,Texas A&M,L,66,67
23,2024-02-10,REG,Auburn (12),W,81,65
24,2024-02-13,REG,Louisiana State,W,82,80
25,2024-02-17,REG,Georgia,W,88,82
26,2024-02-21,REG,Alabama (13),L,93,98
27,2024-02-24,REG,Vanderbilt,W,77,64
28,2024-02-28,REG,Missouri,W,83,74
29,2024-03-02,REG,South Carolina (18),L,76,82
30,2024-03-05,REG,Alabama (16),W,105,87
31,2024-03-09,REG,Vanderbilt,L,78,79
32,2024-03-14,CTOURN,Georgia,W,85,80
33,2024-03-15,CTOURN,Alabama (19),W,102,88
34,2024-03-16,CTOURN,Texas A&M,W,95,90
35,2024-03-17,CTOURN,Auburn (12),L,67,86
36,2024-03-22,NCAA,Colorado,L,100,102
