G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-10,REG,Yale,W,86,71
2,2023-11-14,REG,Eastern Oregon,W,123,57
3,2023-11-20,REG,Purdue (2),L,63,73
4,2023-11-21,REG,Syracuse,W,76,57
5,2023-11-23,REG,UCLA,W,69,65
6,2023-11-28,REG,Cal State Bakersfield,W,81,65
7,2023-12-02,REG,Southern California,W,89,76
8,2023-12-05,REG,Arkansas-Pine Bluff,W,111,71
9,2023-12-09,REG,Washington,L,73,78
10,2023-12-11,REG,Mississippi Valley State,W,78,40
11,2023-12-15,REG,Connecticut (5),L,63,76
12,2023-12-20,REG,Jackson State,W,100,76
13,2023-12-29,REG,San Diego State,L,74,84
14,2024-01-04,REG,Pepperdine,W,86,60
15,2024-01-06,REG,San Diego,W,101,74
16,2024-01-11,REG,Santa Clara,L,76,77
17,2024-01-18,REG,Pepperdine,W,86,61
18,2024-01-20,REG,San Diego,W,105,63
19,2024-01-25,REG,San Francisco,W,77,72
20,2024-01-27,REG,Pacific,W,82,73
21,2024-01-30,REG,Loyola Marymount,W,92,58
22,2024-02-03,REG,Saint Mary's (CA),L,62,64
23,2024-02-07,REG,Portland,W,96,64
24,2024-02-10,REG,Kentucky (17),W,89,85
25,2024-02-15,REG,Loyola Marymount,W,91,74
26,2024-02-17,REG,Pacific,W,102,76
27,2024-02-22,REG,Portland,W,86,65
28,2024-02-24,REG,Santa Clara,W,94,81
29,2024-02-29,REG,San Francisco,W,86,68
30,2024-03-02,REG,Saint Mary's (CA) (17),W,70,57
31,2024-03-11,CTOURN,San Francisco,W,89,77
32,2024-03-12,CTOURN,Saint Mary's (CA) (21),L,60,69
33,2024-03-21,NCAA,McNeese State,W,86,65
34,2024-03-23,NCAA,Kansas (17),W,89,68
35,2024-03-29,NCAA,Purdue (3),L,68,80
