G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,North Texas at Dallas,W,82.0,67.0
2,2023-11-10,REG,Colorado,L,63.0,95.0
3,2023-11-14,REG,Champion Christian,W,113.0,73.0
4,2023-11-17,REG,Delaware State,L,63.0,71.0
5,2023-11-19,REG,Iowa State,L,37.0,92.0
6,2023-11-22,REG,Sam Houston,L,68.0,86.0
7,2023-11-24,REG,Troy,L,67.0,80.0
8,2023-12-02,REG,Dayton,L,46.0,76.0
9,2023-12-10,REG,Washington State,L,65.0,83.0
10,2023-12-14,REG,Drake,L,56.0,68.0
11,2023-12-20,REG,Southeastern Louisiana,L,47.0,48.0
12,2023-12-22,REG,Florida,L,57.0,96.0
13,2024-01-02,REG,College of Biblical Studies,W,84.0,72.0
14,2024-01-06,REG,Prairie View,W,69.0,63.0
15,2024-01-08,REG,Texas Southern,L,52.0,54.0
16,2024-01-13,REG,Bethune-Cookman,W,79.0,69.0
17,2024-01-15,REG,Florida A&M,W,65.0,52.0
18,2024-01-20,REG,Southern,W,79.0,62.0
19,2024-01-27,REG,Mississippi Valley State,W,54.0,46.0
20,2024-01-29,REG,Arkansas-Pine Bluff,L,70.0,86.0
21,2024-02-03,REG,Jackson State,W,70.0,62.0
22,2024-02-05,REG,Alcorn State,W,78.0,67.0
23,2024-02-10,REG,Alabama State,W,74.0,68.0
24,2024-02-12,REG,Alabama A&M,L,50.0,60.0
25,2024-02-17,REG,Texas Southern,W,66.0,63.0
26,2024-02-19,REG,Prairie View,W,83.0,74.0
27,2024-02-24,REG,Southern,W,63.0,57.0
28,2024-03-02,REG,Florida A&M,W,75.0,68.0
29,2024-03-04,REG,Bethune-Cookman,W,69.0,60.0
30,2024-03-07,REG,Alabama State,,,
31,2024-03-07,REG,Alabama A&M,W,74.0,73.0
32,2024-03-09,REG,Alabama State,L,84.0,87.0
33,2024-03-13,CTOURN,Alabama State,W,56.0,50.0
34,2024-03-15,CTOURN,Bethune-Cookman,W,65.0,53.0
35,2024-03-16,CTOURN,Texas Southern,W,75.0,66.0
36,2024-03-20,NCAA,Montana State,W,88.0,81.0
37,2024-03-22,NCAA,Purdue (3),L,50.0,78.0
