G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Southeast Missouri State,W,88,67
2,2023-11-12,REG,Northern Arizona,W,89,55
3,2023-11-17,REG,San Francisco,W,76,72
4,2023-11-19,REG,South Carolina,L,68,75
5,2023-11-25,REG,North Dakota State,W,86,71
6,2023-11-29,REG,Texas-Rio Grande Valley,W,79,69
7,2023-12-02,REG,UT Arlington,W,76,69
8,2023-12-05,REG,San Diego State (25),W,79,73
9,2023-12-09,REG,Liberty,W,69,64
10,2023-12-16,REG,Portland,W,91,63
11,2023-12-20,REG,Sam Houston,W,76,64
12,2023-12-27,REG,Bethesda University (CA),W,124,74
13,2023-12-30,REG,Louisiana Tech,W,73,70
14,2024-01-04,REG,Southern Utah,W,96,75
15,2024-01-06,REG,Utah Tech,W,75,65
16,2024-01-11,REG,Abilene Christian,W,74,64
17,2024-01-13,REG,Tarleton State,W,74,48
18,2024-01-18,REG,Utah Valley,W,78,65
19,2024-01-20,REG,Seattle,L,79,86
20,2024-01-25,REG,Stephen F. Austin,W,53,51
21,2024-01-27,REG,UT Arlington,W,67,61
22,2024-02-01,REG,Seattle,W,95,88
23,2024-02-03,REG,Utah Valley,W,86,67
24,2024-02-10,REG,Southern Utah,W,94,65
25,2024-02-15,REG,Utah Tech,W,73,61
26,2024-02-17,REG,California Baptist,W,79,76
27,2024-02-22,REG,Tarleton State,L,74,77
28,2024-02-24,REG,Abilene Christian,L,73,79
29,2024-02-29,REG,Texas-Rio Grande Valley,W,72,43
30,2024-03-02,REG,Stephen F. Austin,W,80,58
31,2024-03-09,REG,California Baptist,W,68,47
32,2024-03-15,CTOURN,Seattle,W,80,72
33,2024-03-16,CTOURN,UT Arlington,W,89,74
34,2024-03-22,NCAA,Saint Mary's (CA) (15),W,75,66
35,2024-03-24,NCAA,Alabama (19),L,61,72
