G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Louisiana-Monroe,W,84,31
2,2023-11-11,REG,Texas A&M-Corpus Christi,W,82,50
3,2023-11-13,REG,Stetson,W,79,48
4,2023-11-16,REG,Towson,W,65,49
5,2023-11-17,REG,Utah,W,76,66
6,2023-11-19,REG,Dayton,W,69,55
7,2023-11-24,REG,Montana,W,79,44
8,2023-12-01,REG,Xavier,W,66,60
9,2023-12-06,REG,Rice,W,75,39
10,2023-12-09,REG,Jackson State,W,89,55
11,2023-12-16,REG,Texas A&M,W,70,66
12,2023-12-21,REG,Texas State,W,72,37
13,2023-12-30,REG,Pennsylvania,W,81,42
14,2024-01-06,REG,West Virginia,W,89,55
15,2024-01-09,REG,Iowa State,L,53,57
16,2024-01-13,REG,TCU,L,67,68
17,2024-01-17,REG,Texas Tech (25),W,77,54
18,2024-01-20,REG,UCF,W,57,42
19,2024-01-23,REG,Brigham Young (21),W,75,68
20,2024-01-27,REG,Kansas State,W,74,52
21,2024-01-29,REG,Texas,W,76,72
22,2024-02-03,REG,Kansas (8),L,65,78
23,2024-02-06,REG,Oklahoma State,W,79,63
24,2024-02-10,REG,Cincinnati,W,67,62
25,2024-02-17,REG,Texas,W,82,61
26,2024-02-19,REG,Iowa State (6),W,73,65
27,2024-02-24,REG,Baylor (11),W,82,76
28,2024-02-27,REG,Cincinnati,W,67,59
29,2024-03-02,REG,Oklahoma,W,87,85
30,2024-03-06,REG,UCF,W,67,59
31,2024-03-09,REG,Kansas (14),W,76,46
32,2024-03-14,CTOURN,TCU,W,60,45
33,2024-03-15,CTOURN,Texas Tech (25),W,82,59
34,2024-03-16,CTOURN,Iowa State (7),L,41,69
35,2024-03-22,NCAA,Longwood,W,86,46
36,2024-03-24,NCAA,Texas A&M,W,100,95
37,2024-03-29,NCAA,Duke (13),L,51,54
