G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Eastern Illinois,W,80,52
2,2023-11-10,REG,Oakland,W,64,53
3,2023-11-14,REG,Marquette (4),L,64,71
4,2023-11-17,REG,Valparaiso,W,87,64
5,2023-11-19,REG,Southern,W,88,60
6,2023-11-24,REG,Western Illinois,W,84,52
7,2023-12-02,REG,Rutgers,W,76,58
8,2023-12-05,REG,Florida Atlantic (11),W,98,89
9,2023-12-09,REG,Tennessee (17),L,79,86
10,2023-12-17,REG,Colgate,W,74,57
11,2023-12-22,REG,Missouri,W,97,73
12,2023-12-29,REG,FDU,W,104,71
13,2024-01-02,REG,Northwestern,W,96,66
14,2024-01-05,REG,Purdue (1),L,78,83
15,2024-01-11,REG,Michigan State,W,71,68
16,2024-01-14,REG,Maryland,L,67,76
17,2024-01-18,REG,Michigan,W,88,73
18,2024-01-21,REG,Rutgers,W,86,63
19,2024-01-24,REG,Northwestern,L,91,96
20,2024-01-27,REG,Indiana,W,70,62
21,2024-01-30,REG,Ohio State,W,87,75
22,2024-02-04,REG,Nebraska,W,87,84
23,2024-02-10,REG,Michigan State,L,80,88
24,2024-02-13,REG,Michigan,W,97,68
25,2024-02-17,REG,Maryland,W,85,80
26,2024-02-21,REG,Penn State,L,89,90
27,2024-02-24,REG,Iowa,W,95,85
28,2024-02-28,REG,Minnesota,W,105,97
29,2024-03-02,REG,Wisconsin,W,91,83
30,2024-03-05,REG,Purdue (3),L,71,77
31,2024-03-10,REG,Iowa,W,73,61
32,2024-03-15,CTOURN,Ohio State,W,77,74
33,2024-03-16,CTOURN,Nebraska,W,98,87
34,2024-03-17,CTOURN,Wisconsin,W,93,87
35,2024-03-21,NCAA,Morehead State,W,85,69
36,2024-03-23,NCAA,Duquesne,W,89,63
37,2024-03-28,NCAA,Iowa State (4),W,72,69
38,2024-03-30,NCAA,Connecticut (1),L,52,77
