G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Green Bay,W,85,44
2,2023-11-09,REG,Lindenwood,W,102,47
3,2023-11-12,REG,Idaho State,W,86,55
4,2023-11-19,REG,Grambling,W,92,37
5,2023-11-23,REG,Virginia Commonwealth,W,68,64
6,2023-11-24,REG,Virginia Tech,L,62,71
7,2023-11-26,REG,Texas A&M (12),L,69,73
8,2023-12-01,REG,DePaul,W,99,80
9,2023-12-07,REG,Iowa,W,90,65
10,2023-12-10,REG,Prairie View,W,107,56
11,2023-12-17,REG,Florida A&M,W,96,58
12,2023-12-21,REG,Eastern Illinois,W,80,48
13,2023-12-31,REG,New Hampshire,W,85,70
14,2024-01-06,REG,Oklahoma (11),L,63,71
15,2024-01-09,REG,Houston (2),W,57,53
16,2024-01-13,REG,Oklahoma State,W,66,42
17,2024-01-16,REG,Brigham Young (20),L,72,87
18,2024-01-20,REG,TCU (19),W,73,72
19,2024-01-24,REG,Kansas State,W,78,67
20,2024-01-27,REG,Kansas (7),W,79,75
21,2024-02-03,REG,Baylor (18),L,68,70
22,2024-02-06,REG,Texas,W,70,65
23,2024-02-10,REG,TCU,W,71,59
24,2024-02-13,REG,Cincinnati,W,68,59
25,2024-02-17,REG,Texas Tech,W,82,74
26,2024-02-19,REG,Houston (2),L,65,73
27,2024-02-24,REG,West Virginia,W,71,64
28,2024-02-28,REG,Oklahoma,W,58,45
29,2024-03-02,REG,UCF,W,60,52
30,2024-03-06,REG,Brigham Young (20),W,68,63
31,2024-03-09,REG,Kansas State,L,58,65
32,2024-03-14,CTOURN,Kansas State,W,76,57
33,2024-03-15,CTOURN,Baylor (14),W,76,62
34,2024-03-16,CTOURN,Houston (1),W,69,41
35,2024-03-21,NCAA,South Dakota State,W,82,65
36,2024-03-23,NCAA,Washington State (25),W,67,56
37,2024-03-28,NCAA,Illinois (10),L,69,72
