G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Michigan State (4),W,79,76
2,2023-11-09,REG,Kent State,W,113,108
3,2023-11-12,REG,Howard,W,107,86
4,2023-11-17,REG,Radford,W,76,73
5,2023-11-21,REG,Southern Illinois,W,82,76
6,2023-11-22,REG,Fresno State,W,95,64
7,2023-11-29,REG,Buffalo,W,81,66
8,2023-12-03,REG,Keystone,W,130,59
9,2023-12-09,REG,Old Dominion,W,84,69
10,2023-12-16,REG,Hampton,W,88,71
11,2023-12-19,REG,Coppin State,W,87,48
12,2023-12-22,REG,Morgan State,W,89,75
13,2023-12-30,REG,Texas State,W,82,65
14,2024-01-04,REG,Louisiana,W,68,61
15,2024-01-06,REG,Southern Mississippi,L,71,81
16,2024-01-11,REG,South Alabama,W,89,55
17,2024-01-13,REG,Appalachian State,L,55,59
18,2024-01-18,REG,Louisiana-Monroe,W,89,70
19,2024-01-20,REG,Marshall,W,67,52
20,2024-01-24,REG,Old Dominion,W,78,62
21,2024-01-27,REG,Appalachian State,L,76,82
22,2024-02-01,REG,Coastal Carolina,W,105,67
23,2024-02-03,REG,Old Dominion,W,78,63
24,2024-02-07,REG,Arkansas State,W,77,73
25,2024-02-10,REG,Akron,W,73,59
26,2024-02-15,REG,Georgia State,W,83,63
27,2024-02-17,REG,Georgia Southern,W,87,80
28,2024-02-21,REG,Marshall,W,84,58
29,2024-02-24,REG,Georgia Southern,W,80,74
30,2024-02-28,REG,Georgia State,W,84,78
31,2024-03-01,REG,Coastal Carolina,W,86,76
32,2024-03-09,CTOURN,Marshall,W,81,64
33,2024-03-10,CTOURN,Texas State,W,73,68
34,2024-03-11,CTOURN,Arkansas State,W,91,71
35,2024-03-22,NCAA,Wisconsin (23),W,72,61
36,2024-03-24,NCAA,Duke (13),L,55,93
