G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,North Carolina Central,W,99,56
2,2023-11-10,REG,Manhattan,W,99,61
3,2023-11-14,REG,Kentucky (17),W,89,84
4,2023-11-20,REG,Chaminade,W,83,56
5,2023-11-21,REG,Marquette (4),L,59,73
6,2023-11-22,REG,Tennessee (7),W,69,60
7,2023-11-28,REG,Eastern Illinois,W,71,63
8,2023-12-01,REG,Connecticut (4),W,69,65
9,2023-12-05,REG,Kansas City,W,88,69
10,2023-12-09,REG,Missouri,W,73,64
11,2023-12-16,REG,Indiana,W,75,71
12,2023-12-22,REG,Yale,W,75,60
13,2023-12-30,REG,Wichita State,W,86,67
14,2024-01-06,REG,TCU,W,83,81
15,2024-01-10,REG,UCF,L,60,65
16,2024-01-13,REG,Oklahoma (9),W,78,66
17,2024-01-16,REG,Oklahoma State,W,90,66
18,2024-01-20,REG,West Virginia,L,85,91
19,2024-01-22,REG,Cincinnati,W,74,69
20,2024-01-27,REG,Iowa State (23),L,75,79
21,2024-01-30,REG,Oklahoma State,W,83,54
22,2024-02-03,REG,Houston (4),W,78,65
23,2024-02-05,REG,Kansas State,L,70,75
24,2024-02-10,REG,Baylor (13),W,64,61
25,2024-02-12,REG,Texas Tech,L,50,79
26,2024-02-17,REG,Oklahoma (25),W,67,57
27,2024-02-24,REG,Texas,W,86,67
28,2024-02-27,REG,Brigham Young,L,68,76
29,2024-03-02,REG,Baylor (15),L,74,82
30,2024-03-05,REG,Kansas State,W,90,68
31,2024-03-09,REG,Houston (1),L,46,76
32,2024-03-13,CTOURN,Cincinnati,L,52,72
33,2024-03-21,NCAA,Samford,W,93,89
34,2024-03-23,NCAA,Gonzaga (18),L,68,89
