G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,New Mexico State,W,86,46
2,2023-11-10,REG,East Texas A&M,W,81,61
3,2023-11-14,REG,Kansas (1),L,84,89
4,2023-11-17,REG,Stonehill,W,101,67
5,2023-11-20,REG,Saint Joseph's,W,96,88
6,2023-11-24,REG,Marshall,W,118,82
7,2023-11-28,REG,Miami (FL) (8),W,95,73
8,2023-12-02,REG,UNC Wilmington,L,73,80
9,2023-12-09,REG,Pennsylvania,W,81,66
10,2023-12-16,REG,North Carolina (9),W,87,83
11,2023-12-21,REG,Louisville,W,95,76
12,2023-12-29,REG,Illinois State,W,96,70
13,2024-01-06,REG,Florida,W,87,85
14,2024-01-09,REG,Missouri,W,90,77
15,2024-01-13,REG,Texas A&M,L,92,97
16,2024-01-17,REG,Mississippi State,W,90,77
17,2024-01-20,REG,Georgia,W,105,96
18,2024-01-23,REG,South Carolina,L,62,79
19,2024-01-27,REG,Arkansas,W,63,57
20,2024-01-31,REG,Florida,L,91,94
21,2024-02-03,REG,Tennessee (5),L,92,103
22,2024-02-06,REG,Vanderbilt,W,109,77
23,2024-02-10,REG,Gonzaga,L,85,89
24,2024-02-13,REG,Mississippi,W,75,63
25,2024-02-17,REG,Auburn (13),W,70,59
26,2024-02-21,REG,Louisiana State,L,74,75
27,2024-02-24,REG,Alabama (13),W,117,95
28,2024-02-27,REG,Mississippi State,W,91,89
29,2024-03-02,REG,Arkansas,W,111,102
30,2024-03-06,REG,Vanderbilt,W,93,77
31,2024-03-09,REG,Tennessee (4),W,85,81
32,2024-03-15,CTOURN,Texas A&M,L,87,97
33,2024-03-21,NCAA,Oakland,L,76,80
