G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,St. Bonaventure,L,69,73
2,2023-11-11,REG,St. Mary's (MD),W,95,43
3,2023-11-15,REG,Maryland-Eastern Shore,W,80,61
4,2023-11-18,REG,North Carolina Central,W,73,66
5,2023-11-24,REG,Delaware State,W,84,82
6,2023-11-25,REG,Lamar,W,83,72
7,2023-11-26,REG,Bethune-Cookman,W,69,48
8,2023-11-30,REG,Newport News-Apprentice,W,95,46
9,2023-12-03,REG,Morgan State,W,88,54
10,2023-12-09,REG,Delaware State,W,62,61
11,2023-12-11,REG,Gallaudet,W,92,61
12,2023-12-13,REG,Milwaukee,W,80,67
13,2023-12-17,REG,Virginia Military Institute,W,68,49
14,2023-12-20,REG,North Carolina Central,L,70,79
15,2023-12-30,REG,Dayton,L,69,78
16,2024-01-03,REG,Winthrop,L,60,68
17,2024-01-06,REG,Charleston Southern,W,77,56
18,2024-01-11,REG,Radford,L,58,69
19,2024-01-13,REG,UNC Asheville,L,61,65
20,2024-01-17,REG,South Carolina Upstate,L,71,73
21,2024-01-20,REG,Presbyterian,W,80,70
22,2024-01-24,REG,Gardner-Webb,L,64,76
23,2024-02-01,REG,High Point,L,76,93
24,2024-02-03,REG,Charleston Southern,L,77,83
25,2024-02-07,REG,South Carolina Upstate,L,64,69
26,2024-02-10,REG,Winthrop,W,84,74
27,2024-02-17,REG,Presbyterian,W,81,73
28,2024-02-21,REG,UNC Asheville,W,80,75
29,2024-02-24,REG,Radford,L,82,88
30,2024-02-29,REG,Gardner-Webb,L,69,72
31,2024-03-02,REG,High Point,W,74,72
32,2024-03-08,CTOURN,Winthrop,W,69,56
33,2024-03-09,CTOURN,High Point,W,80,79
34,2024-03-10,CTOURN,UNC Asheville,W,85,59
35,2024-03-22,NCAA,Houston (2),L,46,86
