G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Northern Illinois,W,92,70
2,2023-11-10,REG,Rider,W,95,65
3,2023-11-14,REG,Illinois (23),W,71,64
4,2023-11-20,REG,UCLA,W,71,69
5,2023-11-21,REG,Kansas (1),W,73,59
6,2023-11-22,REG,Purdue (2),L,75,78
7,2023-11-28,REG,Southern,W,93,56
8,2023-12-02,REG,Wisconsin,L,64,75
9,2023-12-06,REG,Texas (12),W,86,65
10,2023-12-09,REG,Notre Dame,W,78,59
11,2023-12-14,REG,St. Thomas,W,84,79
12,2023-12-19,REG,Providence,L,57,72
13,2023-12-22,REG,Georgetown,W,81,51
14,2023-12-30,REG,Creighton (22),W,72,67
15,2024-01-06,REG,Seton Hall,L,75,78
16,2024-01-10,REG,Butler,L,62,69
17,2024-01-15,REG,Villanova,W,87,74
18,2024-01-20,REG,St. John's (NY),W,73,72
19,2024-01-24,REG,DePaul,W,86,73
20,2024-01-27,REG,Seton Hall,W,75,57
21,2024-01-30,REG,Villanova,W,85,80
22,2024-02-03,REG,Georgetown,W,91,57
23,2024-02-10,REG,St. John's (NY),W,86,75
24,2024-02-13,REG,Butler,W,78,72
25,2024-02-17,REG,Connecticut (1),L,53,81
26,2024-02-21,REG,DePaul,W,105,71
27,2024-02-25,REG,Xavier,W,88,64
28,2024-02-28,REG,Providence,W,91,69
29,2024-03-02,REG,Creighton (12),L,75,89
30,2024-03-06,REG,Connecticut (2),L,67,74
31,2024-03-09,REG,Xavier,W,86,80
32,2024-03-14,CTOURN,Villanova,W,71,65
33,2024-03-15,CTOURN,Providence,W,79,68
34,2024-03-16,CTOURN,Connecticut (2),L,57,73
35,2024-03-22,NCAA,Western Kentucky,W,87,69
36,2024-03-24,NCAA,Colorado,W,81,77
37,2024-03-29,NCAA,NC State,L,58,67
