G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Virginia Commonwealth,W,76,65
2,2023-11-10,REG,College of Biblical Studies,W,96,55
3,2023-11-13,REG,Champion Christian,W,110,46
4,2023-11-14,REG,LeTourneau,W,81,49
5,2023-11-18,REG,Western Carolina,L,74,76
6,2023-11-21,REG,Texas State,W,59,48
7,2023-11-22,REG,Louisiana Tech,L,62,71
8,2023-11-28,REG,UAB,W,81,60
9,2023-12-02,REG,Tennessee-Martin,W,91,80
10,2023-12-05,REG,Mississippi Univ. for Women,W,92,23
11,2023-12-13,REG,Southern Mississippi,W,67,48
12,2023-12-17,REG,Louisiana,W,74,72
13,2023-12-29,REG,Michigan,W,87,76
14,2024-01-06,REG,East Texas A&M,W,73,67
15,2024-01-08,REG,Northwestern State,W,68,59
16,2024-01-13,REG,Southeastern Louisiana,W,74,65
17,2024-01-15,REG,Lamar,W,88,69
18,2024-01-20,REG,Incarnate Word,W,80,66
19,2024-01-22,REG,Texas A&M-Corpus Christi,W,62,61
20,2024-01-27,REG,New Orleans,W,102,65
21,2024-01-29,REG,Northwestern State,W,89,65
22,2024-02-03,REG,Southeastern Louisiana,L,74,77
23,2024-02-05,REG,East Texas A&M,W,77,51
24,2024-02-10,REG,Texas A&M-Corpus Christi,W,74,67
25,2024-02-12,REG,Houston Christian,W,105,54
26,2024-02-17,REG,Nicholls State,W,74,47
27,2024-02-24,REG,Incarnate Word,W,87,71
28,2024-02-26,REG,Lamar,W,58,56
29,2024-03-02,REG,Nicholls State,W,83,62
30,2024-03-04,REG,Houston Christian,W,87,69
31,2024-03-06,REG,New Orleans,W,81,57
32,2024-03-12,CTOURN,Lamar,W,76,57
33,2024-03-13,CTOURN,Nicholls State,W,92,76
34,2024-03-21,NCAA,Gonzaga (18),L,65,86
