G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,James Madison,L,76,79
2,2023-11-09,REG,Southern Indiana,W,74,51
3,2023-11-14,REG,Duke (9),L,65,74
4,2023-11-17,REG,Butler,W,74,54
5,2023-11-19,REG,Alcorn State,W,81,49
6,2023-11-23,REG,Arizona (3),L,68,74
7,2023-11-28,REG,Georgia Southern,W,86,55
8,2023-12-05,REG,Wisconsin (23),L,57,70
9,2023-12-10,REG,Nebraska,L,70,77
10,2023-12-16,REG,Baylor (6),W,88,64
11,2023-12-18,REG,Oakland,W,79,62
12,2023-12-21,REG,Stony Brook,W,99,55
13,2023-12-30,REG,Indiana State,W,87,75
14,2024-01-04,REG,Penn State,W,92,61
15,2024-01-07,REG,Northwestern,L,74,88
16,2024-01-11,REG,Illinois (10),L,68,71
17,2024-01-14,REG,Rutgers,W,73,55
18,2024-01-18,REG,Minnesota,W,76,66
19,2024-01-21,REG,Maryland,W,61,59
20,2024-01-26,REG,Wisconsin (13),L,66,81
21,2024-01-30,REG,Michigan,W,81,62
22,2024-02-03,REG,Maryland,W,63,54
23,2024-02-06,REG,Minnesota,L,56,59
24,2024-02-10,REG,Illinois (10),W,88,80
25,2024-02-14,REG,Penn State,W,80,72
26,2024-02-17,REG,Michigan,W,73,63
27,2024-02-20,REG,Iowa,L,71,78
28,2024-02-25,REG,Ohio State,L,57,60
29,2024-03-02,REG,Purdue (2),L,74,80
30,2024-03-06,REG,Northwestern,W,53,49
31,2024-03-10,REG,Indiana,L,64,65
32,2024-03-14,CTOURN,Minnesota,W,77,67
33,2024-03-15,CTOURN,Purdue (3),L,62,67
34,2024-03-21,NCAA,Mississippi State,W,69,51
35,2024-03-23,NCAA,North Carolina (5),L,69,85
