G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Northwest Indian College,W,103,63
2,2023-11-11,REG,Seattle,L,68,71
3,2023-11-16,REG,California,W,63,60
4,2023-11-20,REG,Green Bay,L,53,54
5,2023-11-22,REG,UC Riverside,W,69,68
6,2023-11-26,REG,Long Beach State,L,69,75
7,2023-11-30,REG,Rocky Mountain,L,62,70
8,2023-12-05,REG,Washington,L,61,85
9,2023-12-16,REG,SAGU Amer. Indian Coll.,W,106,81
10,2023-12-19,REG,Southern Utah,W,89,88
11,2023-12-22,REG,Cal State Northridge,L,70,82
12,2023-12-28,REG,Idaho State,W,74,66
13,2023-12-30,REG,Weber State,L,64,86
14,2024-01-03,REG,Oral Roberts,L,76,82
15,2024-01-06,REG,South Dakota State,L,61,89
16,2024-01-11,REG,Northern Arizona,W,79,50
17,2024-01-13,REG,Northern Colorado,W,90,81
18,2024-01-20,REG,Montana,L,77,87
19,2024-01-22,REG,Idaho State,W,77,70
20,2024-01-25,REG,Sacramento State,W,70,62
21,2024-01-27,REG,Portland State,L,91,94
22,2024-02-01,REG,Eastern Washington,W,70,60
23,2024-02-03,REG,Idaho,L,75,81
24,2024-02-08,REG,Northern Colorado,L,70,73
25,2024-02-10,REG,Northern Arizona,L,71,76
26,2024-02-17,REG,Montana,L,69,88
27,2024-02-22,REG,Portland State,W,72,67
28,2024-02-24,REG,Sacramento State,L,63,66
29,2024-02-29,REG,Idaho,W,62,48
30,2024-03-02,REG,Eastern Washington,L,104,108
31,2024-03-04,REG,Weber State,W,76,64
32,2024-03-11,CTOURN,Weber State,W,91,82
33,2024-03-12,CTOURN,Sacramento State,W,74,71
34,2024-03-13,CTOURN,Montana,W,85,70
35,2024-03-20,NCAA,Grambling,L,81,88
