G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Alabama (24),L,73,105
2,2023-11-08,REG,Shawnee State,W,96,40
3,2023-11-10,REG,Purdue (3),L,57,87
4,2023-11-14,REG,Mercer,W,74,66
5,2023-11-17,REG,Penn State,L,51,74
6,2023-11-20,REG,Bellarmine,W,64,51
7,2023-11-22,REG,Midway,W,94,53
8,2023-11-29,REG,Austin Peay,W,61,50
9,2023-12-03,REG,Chattanooga,W,87,80
10,2023-12-10,REG,North Alabama,W,86,77
11,2023-12-14,REG,Saint Mary-of-the-Woods College,W,102,33
12,2023-12-19,REG,Indiana,L,68,69
13,2023-12-21,REG,Alice Lloyd,W,101,39
14,2023-12-31,REG,Southeast Missouri State,W,83,64
15,2024-01-04,REG,Tennessee Tech,W,82,57
16,2024-01-06,REG,Tennessee State,W,78,68
17,2024-01-11,REG,Eastern Illinois,W,78,52
18,2024-01-13,REG,Southern Illinois-Edwardsville,L,48,61
19,2024-01-18,REG,Tennessee-Martin,W,84,66
20,2024-01-20,REG,Southern Indiana,W,81,70
21,2024-01-27,REG,Western Illinois,W,64,50
22,2024-02-01,REG,Tennessee State,W,68,49
23,2024-02-03,REG,Tennessee Tech,W,67,60
24,2024-02-08,REG,Southern Illinois-Edwardsville,W,79,68
25,2024-02-10,REG,Eastern Illinois,W,69,57
26,2024-02-15,REG,Little Rock,L,68,69
27,2024-02-17,REG,Tennessee-Martin,L,82,88
28,2024-02-20,REG,Southern Indiana,L,73,80
29,2024-02-22,REG,Western Illinois,W,78,57
30,2024-02-29,REG,Southeast Missouri State,W,72,50
31,2024-03-02,REG,Lindenwood,W,67,49
32,2024-03-07,CTOURN,Southern Illinois-Edwardsville,W,78,63
33,2024-03-08,CTOURN,Tennessee-Martin,W,84,78
34,2024-03-09,CTOURN,Little Rock,W,69,55
35,2024-03-21,NCAA,Illinois (10),L,69,85
