G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,The Citadel,W,72,59
2,2023-11-10,REG,Abilene Christian,W,84,64
3,2023-11-17,REG,Charleston Southern,W,87,53
4,2023-11-23,REG,Vanderbilt,W,84,78
5,2023-11-24,REG,Brigham Young,L,86,95
6,2023-11-28,REG,Mississippi,L,52,72
7,2023-12-02,REG,Boston College,W,84,78
8,2023-12-06,REG,Maryland-Eastern Shore,W,93,61
9,2023-12-12,REG,Tennessee-Martin,W,81,67
10,2023-12-16,REG,Tennessee (12),L,70,79
11,2023-12-20,REG,Saint Louis,W,82,70
12,2023-12-23,REG,Detroit Mercy,W,83,66
13,2024-01-03,REG,Notre Dame,W,54,52
14,2024-01-06,REG,Virginia,W,76,60
15,2024-01-10,REG,North Carolina (7),L,54,67
16,2024-01-13,REG,Louisville,W,89,83
17,2024-01-16,REG,Wake Forest,W,83,76
18,2024-01-20,REG,Virginia Tech,L,78,84
19,2024-01-24,REG,Virginia,L,53,59
20,2024-01-27,REG,Syracuse,L,65,77
21,2024-01-30,REG,Miami (FL),W,74,68
22,2024-02-03,REG,Georgia Tech,W,82,76
23,2024-02-07,REG,Pittsburgh,L,64,67
24,2024-02-10,REG,Wake Forest,L,79,83
25,2024-02-17,REG,Clemson,W,78,77
26,2024-02-20,REG,Syracuse,L,83,87
27,2024-02-24,REG,Boston College,W,81,70
28,2024-02-27,REG,Florida State,L,83,90
29,2024-03-02,REG,North Carolina (9),L,70,79
30,2024-03-04,REG,Duke (9),L,64,79
31,2024-03-09,REG,Pittsburgh,L,73,81
32,2024-03-12,CTOURN,Louisville,W,94,85
33,2024-03-13,CTOURN,Syracuse,W,83,65
34,2024-03-14,CTOURN,Duke (11),W,74,69
35,2024-03-15,CTOURN,Virginia,W,73,65
36,2024-03-16,CTOURN,North Carolina (4),W,84,76
37,2024-03-21,NCAA,Texas Tech (22),W,80,67
38,2024-03-23,NCAA,Oakland,W,79,73
39,2024-03-29,NCAA,Marquette (8),W,67,58
40,2024-03-31,NCAA,Duke (13),W,76,64
41,2024-04-06,NCAA,Purdue (3),L,50,63
