G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Lindenwood,W,84,52
2,2023-11-09,REG,Florida A&M,W,81,54
3,2023-11-13,REG,Rider,W,64,50
4,2023-11-15,REG,Stony Brook,W,84,63
5,2023-11-18,REG,Oregon State,W,84,63
6,2023-11-22,REG,Duquesne,W,89,79
7,2023-11-26,REG,Cal State Fullerton,W,85,72
8,2023-12-03,REG,Creighton (15),L,60,89
9,2023-12-06,REG,Minnesota,L,65,76
10,2023-12-10,REG,Michigan State,W,77,70
11,2023-12-17,REG,Kansas State,W,62,46
12,2023-12-20,REG,North Dakota,W,83,75
13,2023-12-29,REG,South Carolina State,W,91,62
14,2024-01-03,REG,Indiana,W,86,70
15,2024-01-06,REG,Wisconsin (21),L,72,88
16,2024-01-09,REG,Purdue (1),W,88,72
17,2024-01-12,REG,Iowa,L,76,94
18,2024-01-17,REG,Rutgers,L,82,87
19,2024-01-20,REG,Northwestern,W,75,69
20,2024-01-23,REG,Ohio State,W,83,69
21,2024-01-27,REG,Maryland,L,51,73
22,2024-02-01,REG,Wisconsin (6),W,80,72
23,2024-02-04,REG,Illinois (14),L,84,87
24,2024-02-07,REG,Northwestern,L,68,80
25,2024-02-10,REG,Michigan,W,79,59
26,2024-02-17,REG,Penn State,W,68,49
27,2024-02-21,REG,Indiana,W,85,70
28,2024-02-25,REG,Minnesota,W,73,55
29,2024-02-29,REG,Ohio State,L,69,78
30,2024-03-03,REG,Rutgers,W,67,56
31,2024-03-10,REG,Michigan,W,85,70
32,2024-03-15,CTOURN,Indiana,W,93,66
33,2024-03-16,CTOURN,Illinois (13),L,87,98
34,2024-03-22,NCAA,Texas A&M,L,83,98
