G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-07,REG,Sacramento State,W,77,63
2,2023-11-12,REG,Washington,W,83,76
3,2023-11-15,REG,Pacific,W,88,39
4,2023-11-18,REG,Portland,W,108,83
5,2023-11-29,REG,Montana,W,77,66
6,2023-12-02,REG,Loyola Marymount,W,73,59
7,2023-12-06,REG,UC Davis,W,80,68
8,2023-12-09,REG,Drake,L,53,72
9,2023-12-13,REG,Weber State,W,72,55
10,2023-12-17,REG,Hawaii,W,72,66
11,2023-12-21,REG,Temple,W,80,56
12,2023-12-22,REG,TCU,W,88,75
13,2023-12-24,REG,Georgia Tech,W,72,64
14,2023-12-30,REG,Fresno Pacific,W,92,59
15,2024-01-06,REG,Fresno State,W,72,57
16,2024-01-09,REG,Air Force,W,67,54
17,2024-01-12,REG,Boise State,L,56,64
18,2024-01-17,REG,San Diego State,L,59,71
19,2024-01-20,REG,Wyoming,L,93,98
20,2024-01-24,REG,Colorado State (24),W,77,64
21,2024-01-28,REG,New Mexico (25),L,55,89
22,2024-02-02,REG,San Jose State,W,90,60
23,2024-02-06,REG,Utah State (22),W,77,63
24,2024-02-09,REG,San Diego State (24),W,70,66
25,2024-02-13,REG,New Mexico,L,82,83
26,2024-02-17,REG,Nevada-Las Vegas,W,69,66
27,2024-02-20,REG,Wyoming,W,76,58
28,2024-02-23,REG,San Jose State,W,84,63
29,2024-02-27,REG,Colorado State,W,77,74
30,2024-03-01,REG,Fresno State,W,74,66
31,2024-03-05,REG,Boise State,W,76,66
32,2024-03-09,REG,Nevada-Las Vegas,W,75,65
33,2024-03-14,CTOURN,Colorado State,L,78,85
34,2024-03-21,NCAA,Dayton,L,60,63
