G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Texas Southern,W,92,55
2,2023-11-09,REG,Saint Mary's (CA) (23),L,58,72
3,2023-11-16,REG,UT Arlington,W,82,80
4,2023-11-21,REG,Toledo,W,92,84
5,2023-11-22,REG,Rice,W,90,56
6,2023-11-24,REG,Pepperdine,W,90,71
7,2023-11-29,REG,Louisiana Tech,W,74,65
8,2023-12-02,REG,New Mexico State,W,106,62
9,2023-12-06,REG,UC Santa Barbara,W,84,61
10,2023-12-09,REG,Santa Clara,W,93,76
11,2023-12-15,REG,New Mexico State,W,73,72
12,2023-12-20,REG,UC Irvine,W,78,65
13,2023-12-29,REG,Eastern New Mexico,W,87,54
14,2024-01-02,REG,Colorado State (13),L,68,76
15,2024-01-06,REG,Wyoming,W,77,60
16,2024-01-09,REG,Nevada-Las Vegas,L,73,83
17,2024-01-13,REG,San Diego State (19),W,88,70
18,2024-01-16,REG,Utah State (16),W,99,86
19,2024-01-20,REG,Air Force,W,85,66
20,2024-01-24,REG,San Jose State,W,95,75
21,2024-01-28,REG,Nevada,W,89,55
22,2024-01-31,REG,Boise State,L,78,86
23,2024-02-06,REG,Wyoming,W,91,73
24,2024-02-10,REG,Nevada-Las Vegas,L,77,80
25,2024-02-13,REG,Nevada,W,83,82
26,2024-02-16,REG,San Diego State,L,70,81
27,2024-02-21,REG,Colorado State (22),W,68,66
28,2024-02-24,REG,Air Force,L,77,78
29,2024-03-02,REG,Boise State,L,79,89
30,2024-03-06,REG,Fresno State,W,79,58
31,2024-03-09,REG,Utah State (22),L,85,87
32,2024-03-13,CTOURN,Air Force,W,82,56
33,2024-03-14,CTOURN,Boise State,W,76,66
34,2024-03-16,CTOURN,Colorado State,W,74,61
35,2024-03-16,CTOURN,San Diego State,W,68,61
36,2024-03-22,NCAA,Clemson,L,56,77
