G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Binghamton,W,72,61
2,2023-11-10,REG,Dayton,W,71,66
3,2023-11-14,REG,Western Michigan,W,63,59
4,2023-11-18,REG,Rhode Island,W,72,61
5,2023-11-19,REG,Mississippi State,L,57,66
6,2023-11-27,REG,Northern Illinois,W,89,67
7,2023-12-01,REG,Purdue (1),W,92,88
8,2023-12-10,REG,Detroit Mercy,W,91,59
9,2023-12-13,REG,Chicago State,L,73,75
10,2023-12-16,REG,DePaul,W,56,46
11,2023-12-20,REG,Arizona State,W,65,46
12,2023-12-29,REG,Jackson State,W,74,63
13,2024-01-02,REG,Illinois (9),L,66,96
14,2024-01-07,REG,Michigan State,W,88,74
15,2024-01-10,REG,Penn State,W,76,72
16,2024-01-13,REG,Wisconsin (15),L,63,71
17,2024-01-17,REG,Maryland,W,72,69
18,2024-01-20,REG,Nebraska,L,69,75
19,2024-01-24,REG,Illinois (10),W,96,91
20,2024-01-27,REG,Ohio State,W,83,58
21,2024-01-31,REG,Purdue (2),L,96,105
22,2024-02-03,REG,Minnesota,L,66,75
23,2024-02-07,REG,Nebraska,W,80,68
24,2024-02-11,REG,Penn State,W,68,63
25,2024-02-15,REG,Rutgers,L,60,63
26,2024-02-18,REG,Indiana,W,76,72
27,2024-02-22,REG,Michigan,W,76,62
28,2024-02-28,REG,Maryland,W,68,61
29,2024-03-02,REG,Iowa,L,80,87
30,2024-03-06,REG,Michigan State,L,49,53
31,2024-03-09,REG,Minnesota,W,90,66
32,2024-03-15,CTOURN,Wisconsin,L,61,70
33,2024-03-22,NCAA,Florida Atlantic,W,77,65
34,2024-03-24,NCAA,Connecticut (1),L,58,75
