G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Ohio State,L,73,79
2,2023-11-10,REG,Illinois (25),L,53,64
3,2023-11-14,REG,Bowling Green State,W,81,62
4,2023-11-19,REG,Drake,L,77,85
5,2023-11-20,REG,Loyola Marymount,W,74,69
6,2023-11-21,REG,Marshall,W,78,71
7,2023-11-27,REG,Xavier,W,78,76
8,2023-11-29,REG,Detroit Mercy,W,65,50
9,2023-12-02,REG,Purdue Fort Wayne,L,77,98
10,2023-12-06,REG,Toledo,L,68,69
11,2023-12-08,REG,Eastern Michigan,W,77,63
12,2023-12-18,REG,Michigan State,L,62,79
13,2023-12-20,REG,Dayton,L,67,91
14,2023-12-28,REG,Cleveland State,L,67,75
15,2023-12-31,REG,Youngstown State,W,88,81
16,2024-01-04,REG,Milwaukee,W,100,95
17,2024-01-06,REG,Green Bay,W,79,73
18,2024-01-10,REG,Northern Kentucky,W,70,65
19,2024-01-13,REG,IU Indy,W,88,66
20,2024-01-17,REG,Youngstown State,W,70,67
21,2024-01-25,REG,Green Bay,L,59,69
22,2024-01-27,REG,Milwaukee,W,91,87
23,2024-02-01,REG,Robert Morris,W,87,72
24,2024-02-03,REG,Cleveland State,W,83,71
25,2024-02-08,REG,Northern Kentucky,L,89,99
26,2024-02-10,REG,Wright State,W,74,60
27,2024-02-14,REG,Purdue Fort Wayne,W,71,63
28,2024-02-17,REG,IU Indy,W,107,59
29,2024-02-22,REG,Robert Morris,W,63,43
30,2024-02-25,REG,Wright State,L,75,96
31,2024-03-02,REG,Detroit Mercy,W,75,70
32,2024-03-07,CTOURN,Purdue Fort Wayne,W,75,65
33,2024-03-11,CTOURN,Cleveland State,W,74,71
34,2024-03-12,CTOURN,Milwaukee,W,83,76
35,2024-03-21,NCAA,Kentucky (12),W,80,76
36,2024-03-23,NCAA,NC State,L,73,79
