G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Georgia,W,82,71
2,2023-11-10,REG,Montana,W,75,61
3,2023-11-17,REG,Tennessee State,W,92,67
4,2023-11-20,REG,Florida A&M,W,67,54
5,2023-11-24,REG,Santa Clara,L,82,88
6,2023-11-25,REG,Alabama (17),L,91,99
7,2023-12-02,REG,Michigan,W,86,83
8,2023-12-09,REG,UTEP,W,71,49
9,2023-12-12,REG,California Baptist,W,76,55
10,2023-12-17,REG,Syracuse,L,63,83
11,2023-12-21,REG,Kent State,W,84,70
12,2023-12-28,REG,Southern California,W,82,74
13,2023-12-30,REG,UCLA,W,64,59
14,2024-01-04,REG,Washington,W,76,74
15,2024-01-06,REG,Washington State,W,89,84
16,2024-01-13,REG,California,W,80,73
17,2024-01-18,REG,Colorado,L,70,86
18,2024-01-21,REG,Utah,L,77,80
19,2024-01-25,REG,Arizona State,W,80,61
20,2024-01-27,REG,Arizona (9),L,78,87
21,2024-02-01,REG,Southern California,W,78,69
22,2024-02-03,REG,UCLA,L,63,71
23,2024-02-08,REG,Washington,W,85,80
24,2024-02-10,REG,Washington State,L,56,62
25,2024-02-17,REG,Oregon State,W,60,58
26,2024-02-22,REG,Stanford,W,78,65
27,2024-02-24,REG,California,L,64,69
28,2024-02-28,REG,Oregon State,W,78,71
29,2024-03-02,REG,Arizona (6),L,83,103
30,2024-03-07,REG,Colorado,L,75,79
31,2024-03-09,REG,Utah,W,66,65
32,2024-03-14,CTOURN,UCLA,W,68,66
33,2024-03-15,CTOURN,Arizona (6),W,67,59
34,2024-03-16,CTOURN,Colorado,W,75,68
35,2024-03-21,NCAA,South Carolina (16),W,87,73
36,2024-03-23,NCAA,Creighton (11),L,73,86
