G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Samford,W,98,45
2,2023-11-10,REG,Morehead State,W,87,57
3,2023-11-13,REG,Xavier,W,83,71
4,2023-11-20,REG,Gonzaga (11),W,73,63
5,2023-11-21,REG,Tennessee (7),W,71,67
6,2023-11-22,REG,Marquette (4),W,78,75
7,2023-11-28,REG,Texas Southern,W,99,67
8,2023-12-01,REG,Northwestern,L,88,92
9,2023-12-04,REG,Iowa,W,87,68
10,2023-12-09,REG,Alabama,W,92,86
11,2023-12-16,REG,Arizona (1),W,92,84
12,2023-12-21,REG,Jacksonville,W,100,57
13,2023-12-29,REG,Eastern Kentucky,W,80,53
14,2024-01-02,REG,Maryland,W,67,53
15,2024-01-05,REG,Illinois (9),W,83,78
16,2024-01-09,REG,Nebraska,L,72,88
17,2024-01-13,REG,Penn State,W,95,78
18,2024-01-16,REG,Indiana,W,87,66
19,2024-01-20,REG,Iowa,W,84,70
20,2024-01-23,REG,Michigan,W,99,67
21,2024-01-28,REG,Rutgers,W,68,60
22,2024-01-31,REG,Northwestern,W,105,96
23,2024-02-04,REG,Wisconsin (6),W,75,69
24,2024-02-10,REG,Indiana,W,79,59
25,2024-02-15,REG,Minnesota,W,84,76
26,2024-02-18,REG,Ohio State,L,69,73
27,2024-02-22,REG,Rutgers,W,96,68
28,2024-02-25,REG,Michigan,W,84,76
29,2024-03-02,REG,Michigan State,W,80,74
30,2024-03-05,REG,Illinois (12),W,77,71
31,2024-03-10,REG,Wisconsin,W,78,70
32,2024-03-15,CTOURN,Michigan State,W,67,62
33,2024-03-16,CTOURN,Wisconsin,L,75,76
34,2024-03-22,NCAA,Grambling,W,78,50
35,2024-03-24,NCAA,Utah State (20),W,106,67
36,2024-03-29,NCAA,Gonzaga (18),W,80,68
37,2024-03-31,NCAA,Tennessee (6),W,72,66
38,2024-04-06,NCAA,NC State,W,63,50
39,2024-04-08,NCAA,Connecticut (1),L,60,75
