G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Cal State Stanislaus,W,107,28
2,2023-11-09,REG,New Mexico,W,72,58
3,2023-11-12,REG,Weber State,L,57,61
4,2023-11-17,REG,San Diego State,L,54,79
5,2023-11-19,REG,Xavier,L,49,66
6,2023-11-24,REG,Davidson,W,89,55
7,2023-11-27,REG,Utah,L,71,78
8,2023-12-01,REG,Boise State,L,60,63
9,2023-12-05,REG,Cleveland State,W,70,57
10,2023-12-09,REG,Colorado State (13),W,64,61
11,2023-12-16,REG,Nevada-Las Vegas,W,69,67
12,2023-12-19,REG,Middle Tennessee,W,71,34
13,2023-12-21,REG,Northern Kentucky,W,92,56
14,2023-12-23,REG,Missouri State,L,64,69
15,2023-12-29,REG,Kent State,W,66,46
16,2024-01-04,REG,San Diego,W,81,70
17,2024-01-06,REG,Loyola Marymount,W,68,64
18,2024-01-11,REG,Portland,W,95,52
19,2024-01-13,REG,Santa Clara,W,73,49
20,2024-01-20,REG,San Francisco,W,77,60
21,2024-01-25,REG,Pacific,W,76,28
22,2024-01-27,REG,Loyola Marymount,W,70,65
23,2024-01-31,REG,Santa Clara,W,82,77
24,2024-02-03,REG,Gonzaga,W,64,62
25,2024-02-06,REG,Pacific,W,84,43
26,2024-02-10,REG,Portland,W,76,51
27,2024-02-15,REG,Pepperdine,W,103,59
28,2024-02-20,REG,San Francisco,W,70,66
29,2024-02-24,REG,San Diego,W,88,62
30,2024-02-29,REG,Pepperdine,W,83,57
31,2024-03-02,REG,Gonzaga (23),L,57,70
32,2024-03-11,CTOURN,Santa Clara,W,79,65
33,2024-03-12,CTOURN,Gonzaga (17),W,69,60
34,2024-03-22,NCAA,Grand Canyon,L,66,75
