G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Seton Hall,L,59,70
2,2023-11-11,REG,NJIT,W,75,48
3,2023-11-15,REG,FDU,L,70,71
4,2023-11-20,REG,Massachusetts-Lowell,L,61,69
5,2023-11-27,REG,Rutgers,L,40,71
6,2023-12-01,REG,Niagara,W,72,67
7,2023-12-03,REG,Canisius,W,54,52
8,2023-12-08,REG,Duquesne,L,59,68
9,2023-12-12,REG,Maryland-Baltimore County,W,66,60
10,2023-12-22,REG,Kean,W,73,70
11,2023-12-30,REG,Bucknell,W,67,58
12,2024-01-05,REG,Iona,W,69,57
13,2024-01-07,REG,Mount St. Mary's,W,70,64
14,2024-01-14,REG,Manhattan,W,81,68
15,2024-01-19,REG,Fairfield,L,67,76
16,2024-01-21,REG,Canisius,W,70,59
17,2024-01-25,REG,Rider,L,57,62
18,2024-01-28,REG,Siena,W,63,52
19,2024-02-02,REG,Niagara,L,59,68
20,2024-02-04,REG,Marist,L,52,63
21,2024-02-08,REG,Quinnipiac,L,73,84
22,2024-02-10,REG,Fairfield,L,62,64
23,2024-02-16,REG,Siena,W,75,53
24,2024-02-18,REG,Iona,W,59,53
25,2024-02-23,REG,Mount St. Mary's,W,70,65
26,2024-02-25,REG,Marist,W,69,60
27,2024-03-03,REG,Manhattan,W,89,57
28,2024-03-07,REG,Rider,L,56,61
29,2024-03-09,REG,Quinnipiac,L,74,89
30,2024-03-14,CTOURN,Rider,W,50,48
31,2024-03-15,CTOURN,Quinnipiac,W,62,60
32,2024-03-16,CTOURN,Fairfield,W,68,63
33,2024-03-21,NCAA,Tennessee (6),L,49,83
