G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Cal State Fullerton,W,83,57
2,2023-11-10,REG,Brigham Young,L,65,74
3,2023-11-14,REG,Long Beach State,W,88,76
4,2023-11-17,REG,Saint Mary's (CA),W,79,54
5,2023-11-19,REG,Washington,W,100,97
6,2023-11-25,REG,California,W,76,67
7,2023-11-27,REG,Point Loma Nazarene,W,71,51
8,2023-12-01,REG,UC San Diego,W,63,62
9,2023-12-05,REG,Grand Canyon,L,73,79
10,2023-12-09,REG,UC Irvine,W,63,62
11,2023-12-19,REG,St. Katherine,W,91,57
12,2023-12-21,REG,Stanford,W,74,60
13,2023-12-29,REG,Gonzaga (13),W,84,74
14,2024-01-03,REG,Fresno State,W,74,47
15,2024-01-06,REG,Nevada-Las Vegas,W,72,61
16,2024-01-09,REG,San Jose State,W,81,78
17,2024-01-13,REG,New Mexico,L,70,88
18,2024-01-17,REG,Nevada,W,71,59
19,2024-01-20,REG,Boise State,L,66,67
20,2024-01-23,REG,Wyoming,W,81,65
21,2024-01-30,REG,Colorado State,L,71,79
22,2024-02-03,REG,Utah State (17),W,81,67
23,2024-02-06,REG,Air Force,W,77,64
24,2024-02-09,REG,Nevada,L,66,70
25,2024-02-13,REG,Colorado State,W,71,55
26,2024-02-16,REG,New Mexico,W,81,70
27,2024-02-20,REG,Utah State,L,63,68
28,2024-02-24,REG,Fresno State,W,73,41
29,2024-02-27,REG,San Jose State,W,72,64
