G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,South Carolina Upstate,W,82,53
2,2023-11-10,REG,Virginia Tech,W,79,77
3,2023-11-13,REG,Virginia Military Institute,W,74,64
4,2023-11-17,REG,DePaul,W,73,68
5,2023-11-19,REG,Grand Canyon,W,75,68
6,2023-11-28,REG,Notre Dame,W,65,53
7,2023-12-01,REG,George Washington,W,89,67
8,2023-12-06,REG,Clemson (24),L,67,72
9,2023-12-09,REG,East Carolina,W,68,62
10,2023-12-16,REG,Charleston Southern,W,73,69
11,2023-12-19,REG,Winthrop,W,72,62
12,2023-12-22,REG,Elon,W,70,43
13,2023-12-30,REG,Florida A&M,W,94,62
14,2024-01-06,REG,Mississippi State,W,68,62
15,2024-01-09,REG,Alabama,L,47,74
16,2024-01-13,REG,Missouri,W,71,69
17,2024-01-16,REG,Georgia,L,69,74
18,2024-01-20,REG,Arkansas,W,77,64
19,2024-01-23,REG,Kentucky (6),W,79,62
20,2024-01-27,REG,Missouri,W,72,64
21,2024-01-30,REG,Tennessee (5),W,63,59
22,2024-02-03,REG,Georgia,W,72,62
23,2024-02-06,REG,Mississippi,W,68,65
24,2024-02-10,REG,Vanderbilt,W,75,60
25,2024-02-14,REG,Auburn (13),L,61,101
26,2024-02-17,REG,Louisiana State,L,63,64
27,2024-02-24,REG,Mississippi,W,72,59
28,2024-02-28,REG,Texas A&M,W,70,68
29,2024-03-02,REG,Florida (24),W,82,76
30,2024-03-06,REG,Tennessee (4),L,59,66
31,2024-03-09,REG,Mississippi State,W,93,89
32,2024-03-14,CTOURN,Arkansas,W,80,66
33,2024-03-15,CTOURN,Auburn (12),L,55,86
34,2024-03-21,NCAA,Oregon,L,73,87
