G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Akron,L,75,81
2,2023-11-08,REG,Dakota Wesleyan,W,83,55
3,2023-11-13,REG,Kansas State,L,68,91
4,2023-11-19,REG,UCF,L,80,83
5,2023-11-20,REG,George Mason,L,71,73
6,2023-11-22,REG,Southern Mississippi,W,65,54
7,2023-11-27,REG,Mount Marty,W,92,70
8,2023-12-01,REG,Towson,W,61,48
9,2023-12-05,REG,Kent State,L,73,82
10,2023-12-09,REG,Wichita State,W,79,69
11,2023-12-14,REG,Mayville State,W,94,62
12,2023-12-20,REG,Wyoming,L,65,78
13,2023-12-21,REG,Norfolk State,L,65,84
14,2023-12-31,REG,North Dakota,W,80,61
15,2024-01-03,REG,Weber State,L,73,75
16,2024-01-06,REG,Montana State,W,89,61
17,2024-01-11,REG,St. Thomas,W,81,80
18,2024-01-13,REG,Denver,L,80,99
19,2024-01-18,REG,Omaha,W,90,87
20,2024-01-20,REG,South Dakota,W,73,55
21,2024-01-25,REG,Kansas City,W,75,66
22,2024-01-27,REG,Oral Roberts,L,82,87
23,2024-02-01,REG,North Dakota State,L,73,74
24,2024-02-04,REG,South Dakota,W,70,67
25,2024-02-10,REG,Oral Roberts,W,83,72
26,2024-02-15,REG,Kansas City,L,67,72
27,2024-02-17,REG,Omaha,W,85,77
28,2024-02-22,REG,Denver,W,97,70
29,2024-02-24,REG,St. Thomas,W,77,72
30,2024-02-29,REG,North Dakota,W,72,62
31,2024-03-02,REG,North Dakota State,W,78,61
32,2024-03-09,CTOURN,Oral Roberts,W,79,63
33,2024-03-11,CTOURN,St. Thomas,W,59,49
34,2024-03-12,CTOURN,Denver,W,76,68
35,2024-03-21,NCAA,Iowa State (4),L,65,82
