G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Trinity Baptist,W,109,54
2,2023-11-11,REG,Nevada-Las Vegas,L,55,71
3,2023-11-13,REG,Houston (6),L,48,79
4,2023-11-20,REG,Milwaukee,W,85,67
5,2023-11-21,REG,Central Michigan,W,71,61
6,2023-11-26,REG,UCF,W,85,82
7,2023-11-29,REG,Coastal Georgia,W,94,49
8,2023-12-03,REG,Chicago State,L,54,77
9,2023-12-05,REG,Charlotte,L,62,85
10,2023-12-10,REG,Johnson (FL),W,123,43
11,2023-12-17,REG,Omaha,L,80,88
12,2023-12-19,REG,Florida International,W,80,68
13,2023-12-22,REG,Cincinnati,L,75,83
14,2023-12-29,REG,Charlotte,W,79,75
15,2024-01-04,REG,North Florida,W,75,74
16,2024-01-06,REG,Jacksonville,W,71,55
17,2024-01-10,REG,Kennesaw State,L,70,88
18,2024-01-12,REG,Queens (NC),W,84,66
19,2024-01-15,REG,Chicago State,L,70,77
20,2024-01-20,REG,Florida Gulf Coast,L,56,80
21,2024-01-25,REG,Austin Peay,W,83,82
22,2024-01-27,REG,Lipscomb,W,80,59
23,2024-02-01,REG,North Alabama,L,72,79
24,2024-02-03,REG,Central Arkansas,W,73,62
25,2024-02-07,REG,Bellarmine,W,84,77
26,2024-02-10,REG,Eastern Kentucky,W,87,79
27,2024-02-17,REG,Florida Gulf Coast,W,61,60
28,2024-02-22,REG,Queens (NC),L,75,83
29,2024-02-24,REG,Kennesaw State,W,84,72
30,2024-02-28,REG,Jacksonville,W,86,73
31,2024-03-01,REG,North Florida,L,59,78
32,2024-03-05,REG,Queens (NC),W,83,71
33,2024-03-07,CTOURN,Jacksonville,W,88,87
34,2024-03-10,CTOURN,Austin Peay,W,94,91
35,2024-03-22,NCAA,Connecticut (1),L,52,91
