G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Southern,W,108,75
2,2023-11-09,REG,Omaha,W,82,60
3,2023-11-14,REG,Texas-Rio Grande Valley,W,88,55
4,2023-11-17,REG,Mississippi Valley State,W,86,52
5,2023-11-21,REG,Alcorn State,W,93,74
6,2023-11-27,REG,Houston Christian,W,101,64
7,2023-12-02,REG,Georgetown,W,84,83
8,2023-12-09,REG,Clemson (24),L,66,74
9,2023-12-16,REG,Arizona State,W,79,59
10,2023-12-21,REG,Old Dominion,W,111,87
11,2023-12-22,REG,Nevada,L,75,88
12,2023-12-24,REG,Hawaii,W,65,51
13,2024-01-01,REG,East Texas A&M,W,77,42
14,2024-01-06,REG,Kansas (2),L,81,83
15,2024-01-10,REG,Oklahoma (9),W,80,71
16,2024-01-13,REG,Houston (2),W,68,67
17,2024-01-16,REG,Cincinnati,L,77,81
18,2024-01-20,REG,Iowa State (24),L,72,73
19,2024-01-23,REG,Oklahoma State,W,74,69
20,2024-01-27,REG,Baylor (15),W,105,102
21,2024-01-30,REG,Texas Tech (15),W,85,78
22,2024-02-03,REG,Texas,L,66,77
23,2024-02-10,REG,Iowa State (14),L,59,71
24,2024-02-12,REG,West Virginia,W,81,65
25,2024-02-17,REG,Kansas State,W,75,72
26,2024-02-20,REG,Texas Tech (23),L,81,82
27,2024-02-24,REG,Cincinnati,W,75,57
28,2024-02-26,REG,Baylor (15),L,54,62
29,2024-03-02,REG,Brigham Young,L,75,87
30,2024-03-06,REG,West Virginia,W,93,81
31,2024-03-09,REG,UCF,L,77,79
32,2024-03-13,CTOURN,Oklahoma,W,77,70
33,2024-03-14,CTOURN,Houston (1),L,45,60
34,2024-03-22,NCAA,Utah State (20),L,72,88
