G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Tennessee Tech,W,80,42
2,2023-11-10,REG,Wisconsin,W,80,70
3,2023-11-14,REG,Wofford,W,82,61
4,2023-11-20,REG,Syracuse,W,73,56
5,2023-11-21,REG,Purdue (2),L,67,71
6,2023-11-22,REG,Kansas (1),L,60,69
7,2023-11-29,REG,North Carolina (17),L,92,100
8,2023-12-05,REG,George Mason,W,87,66
9,2023-12-09,REG,Illinois (20),W,86,79
10,2023-12-12,REG,Georgia Southern,W,74,56
11,2023-12-16,REG,NC State,W,79,70
12,2023-12-21,REG,Tarleton State,W,65,46
13,2024-01-02,REG,Norfolk State,W,87,50
14,2024-01-06,REG,Mississippi (22),W,90,64
15,2024-01-10,REG,Mississippi State,L,72,77
16,2024-01-13,REG,Georgia,W,85,79
17,2024-01-16,REG,Florida,W,85,66
18,2024-01-20,REG,Alabama,W,91,71
19,2024-01-27,REG,Vanderbilt,W,75,62
20,2024-01-30,REG,South Carolina,L,59,63
21,2024-02-03,REG,Kentucky (10),W,103,92
22,2024-02-07,REG,Louisiana State,W,88,68
23,2024-02-10,REG,Texas A&M,L,69,85
24,2024-02-14,REG,Arkansas,W,92,63
25,2024-02-17,REG,Vanderbilt,W,88,53
26,2024-02-20,REG,Missouri,W,72,67
27,2024-02-24,REG,Texas A&M,W,86,51
28,2024-02-28,REG,Auburn (11),W,92,84
29,2024-03-02,REG,Alabama (14),W,81,74
30,2024-03-06,REG,South Carolina (17),W,66,59
31,2024-03-09,REG,Kentucky (15),L,81,85
32,2024-03-15,CTOURN,Mississippi State,L,56,73
33,2024-03-21,NCAA,Saint Peter's,W,83,49
34,2024-03-23,NCAA,Texas,W,62,58
35,2024-03-29,NCAA,Creighton (11),W,82,75
36,2024-03-31,NCAA,Purdue (3),L,66,72
