G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,East Texas A&M,W,78,46
2,2023-11-10,REG,Ohio State,W,73,66
3,2023-11-14,REG,Southern Methodist,W,79,66
4,2023-11-17,REG,Oral Roberts,W,74,66
5,2023-11-23,REG,Penn State,W,89,77
6,2023-11-24,REG,Florida Atlantic (19),L,89,96
7,2023-11-26,REG,Iowa State,W,73,69
8,2023-11-29,REG,Virginia,L,47,59
9,2023-12-06,REG,DePaul,W,89,64
10,2023-12-10,REG,Memphis,L,75,81
11,2023-12-16,REG,Houston (4),L,66,70
12,2023-12-22,REG,Houston Christian,W,79,52
13,2023-12-30,REG,Prairie View,W,79,54
14,2024-01-06,REG,Louisiana State,L,53,68
15,2024-01-09,REG,Auburn (16),L,55,66
16,2024-01-13,REG,Kentucky (6),W,97,92
17,2024-01-16,REG,Arkansas,L,77,78
18,2024-01-20,REG,Louisiana State,W,73,69
19,2024-01-23,REG,Missouri,W,63,57
20,2024-01-27,REG,Mississippi,L,68,71
21,2024-02-03,REG,Florida,W,67,66
22,2024-02-07,REG,Missouri,W,79,60
23,2024-02-10,REG,Tennessee (6),W,85,69
24,2024-02-13,REG,Vanderbilt,L,73,74
25,2024-02-17,REG,Alabama (15),L,75,100
26,2024-02-20,REG,Arkansas,L,71,78
27,2024-02-24,REG,Tennessee (5),L,51,86
28,2024-02-28,REG,South Carolina (18),L,68,70
29,2024-03-02,REG,Georgia,W,70,56
30,2024-03-06,REG,Mississippi State,W,75,69
31,2024-03-09,REG,Mississippi,W,86,60
32,2024-03-14,CTOURN,Mississippi,W,80,71
33,2024-03-15,CTOURN,Kentucky (9),W,97,87
34,2024-03-16,CTOURN,Florida,L,90,95
35,2024-03-22,NCAA,Nebraska,W,98,83
36,2024-03-24,NCAA,Houston (2),L,95,100
