G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-08,REG,East Texas A&M,W,73,46
2,2023-11-12,REG,San Jose State,W,56,42
3,2023-11-16,REG,Texas A&M-Corpus Christi,W,73,64
4,2023-11-22,REG,Villanova,L,69,85
5,2023-11-23,REG,Northern Iowa,W,72,70
6,2023-11-24,REG,Michigan,W,73,57
7,2023-11-30,REG,Butler,L,95,103
8,2023-12-06,REG,Omaha,W,87,58
9,2023-12-12,REG,Oral Roberts,W,82,76
10,2023-12-16,REG,Vanderbilt,W,76,54
11,2023-12-21,REG,UT Arlington,W,77,66
12,2023-12-28,REG,Sam Houston,W,96,60
13,2024-01-01,REG,North Alabama,W,85,57
14,2024-01-06,REG,Texas (20),W,78,67
15,2024-01-09,REG,Oklahoma State,W,90,73
16,2024-01-13,REG,Kansas State,W,60,59
17,2024-01-17,REG,Houston (5),L,54,77
18,2024-01-20,REG,Brigham Young (20),W,85,78
19,2024-01-27,REG,Oklahoma (11),W,85,84
20,2024-01-30,REG,TCU (25),L,78,85
21,2024-02-03,REG,Cincinnati,L,72,75
22,2024-02-06,REG,Baylor (13),L,73,79
23,2024-02-10,REG,UCF,W,66,59
24,2024-02-12,REG,Kansas (6),W,79,50
25,2024-02-17,REG,Iowa State (10),L,74,82
26,2024-02-20,REG,TCU,W,82,81
27,2024-02-24,REG,UCF,L,61,75
28,2024-02-27,REG,Texas,L,69,81
29,2024-03-02,REG,West Virginia,W,81,70
30,2024-03-05,REG,Oklahoma State,W,75,58
31,2024-03-09,REG,Baylor (11),W,78,68
32,2024-03-14,CTOURN,Brigham Young (20),W,81,67
33,2024-03-15,CTOURN,Houston (1),L,59,82
34,2024-03-21,NCAA,NC State,L,67,80
