G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Bradley,L,71,73
2,2023-11-10,REG,Clemson,L,76,77
3,2023-11-12,REG,Maryland,W,66,63
4,2023-11-16,REG,Alcorn State,W,80,77
5,2023-11-21,REG,Middle Tennessee,W,58,57
6,2023-11-25,REG,Furman,W,92,86
7,2023-11-28,REG,McNeese State,L,60,81
8,2023-12-01,REG,Southern Mississippi,L,82,85
9,2023-12-09,REG,Arkansas State,L,68,87
10,2023-12-13,REG,Alabama A&M,W,93,82
11,2023-12-17,REG,Montevallo,W,92,56
12,2023-12-22,REG,Drake,W,79,78
13,2023-12-29,REG,UNC Asheville,W,90,85
14,2024-01-02,REG,UTSA,W,78,76
15,2024-01-07,REG,South Florida,W,75,71
16,2024-01-14,REG,Florida Atlantic (24),L,73,86
17,2024-01-17,REG,Tulane,W,83,69
18,2024-01-20,REG,East Carolina,W,69,61
19,2024-01-23,REG,Charlotte,L,70,76
20,2024-01-28,REG,Memphis (19),W,97,88
21,2024-01-31,REG,North Texas,W,82,79
22,2024-02-04,REG,Southern Methodist,L,69,72
23,2024-02-08,REG,Florida Atlantic (20),W,76,73
24,2024-02-11,REG,Tulsa,W,70,63
25,2024-02-18,REG,North Texas,W,71,62
26,2024-02-21,REG,Rice,L,71,94
27,2024-02-25,REG,Tulane,W,78,67
28,2024-02-28,REG,Wichita State,L,66,74
29,2024-03-03,REG,Memphis,L,87,106
30,2024-03-07,REG,Temple,W,100,72
31,2024-03-10,REG,Southern Methodist,W,74,70
32,2024-03-15,CTOURN,Wichita State,W,72,60
33,2024-03-16,CTOURN,South Florida,W,93,83
34,2024-03-17,CTOURN,Temple,W,85,69
35,2024-03-22,NCAA,San Diego State (24),L,65,69
