G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Northern Arizona,W,95,52
2,2023-11-11,REG,Stonehill,W,107,67
3,2023-11-14,REG,Mississippi Valley State,W,87,53
4,2023-11-19,REG,Indiana,W,77,57
5,2023-11-20,REG,Texas (15),W,81,71
6,2023-11-24,REG,Manhattan,W,90,60
7,2023-11-27,REG,New Hampshire,W,84,64
8,2023-12-01,REG,Kansas (5),L,65,69
9,2023-12-05,REG,North Carolina (9),W,87,76
10,2023-12-09,REG,Arkansas-Pine Bluff,W,101,63
11,2023-12-15,REG,Gonzaga (10),W,76,63
12,2023-12-20,REG,Seton Hall,L,60,75
13,2023-12-23,REG,St. John's (NY),W,69,65
14,2024-01-02,REG,DePaul,W,85,56
15,2024-01-05,REG,Butler,W,88,81
16,2024-01-10,REG,Xavier,W,80,75
17,2024-01-14,REG,Georgetown,W,80,67
18,2024-01-17,REG,Creighton (18),W,62,48
19,2024-01-20,REG,Villanova,W,66,65
20,2024-01-28,REG,Xavier,W,99,56
21,2024-01-31,REG,Providence,W,74,65
22,2024-02-03,REG,St. John's (NY),W,77,64
23,2024-02-06,REG,Butler,W,71,62
24,2024-02-10,REG,Georgetown,W,89,64
25,2024-02-14,REG,DePaul,W,101,65
26,2024-02-17,REG,Marquette (4),W,81,53
27,2024-02-20,REG,Creighton (15),L,66,85
28,2024-02-24,REG,Villanova,W,78,54
29,2024-03-03,REG,Seton Hall,W,91,61
30,2024-03-06,REG,Marquette (8),W,74,67
31,2024-03-09,REG,Providence,W,74,60
32,2024-03-14,CTOURN,Xavier,W,87,60
33,2024-03-15,CTOURN,St. John's (NY),W,95,90
34,2024-03-16,CTOURN,Marquette (10),W,73,57
35,2024-03-22,NCAA,Stetson,W,91,52
36,2024-03-24,NCAA,Northwestern,W,75,58
37,2024-03-28,NCAA,San Diego State (24),W,82,52
38,2024-03-30,NCAA,Illinois (10),W,77,52
39,2024-04-06,NCAA,Alabama (19),W,86,72
40,2024-04-08,NCAA,Purdue (3),W,75,60
