G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Radford,W,86,70
2,2023-11-12,REG,Lehigh,W,90,68
3,2023-11-17,REG,UC Riverside,W,77,52
4,2023-11-22,REG,Northern Iowa,W,91,69
5,2023-11-23,REG,Villanova,L,81,83
6,2023-11-24,REG,Arkansas (20),W,87,72
7,2023-11-29,REG,Tennessee (10),W,100,92
8,2023-12-02,REG,Florida State,W,78,70
9,2023-12-05,REG,Connecticut (5),L,76,87
10,2023-12-16,REG,Kentucky (14),L,83,87
11,2023-12-20,REG,Oklahoma (7),W,81,69
12,2023-12-29,REG,Charleston Southern,W,105,60
13,2024-01-02,REG,Pittsburgh,W,70,57
14,2024-01-06,REG,Clemson (16),W,65,55
15,2024-01-10,REG,NC State,W,67,54
16,2024-01-13,REG,Syracuse,W,103,67
17,2024-01-17,REG,Louisville,W,86,70
18,2024-01-20,REG,Boston College,W,76,66
19,2024-01-22,REG,Wake Forest,W,85,64
20,2024-01-27,REG,Florida State,W,75,68
21,2024-01-30,REG,Georgia Tech,L,73,74
22,2024-02-03,REG,Duke (7),W,93,84
23,2024-02-06,REG,Clemson,L,76,80
24,2024-02-10,REG,Miami (FL),W,75,72
25,2024-02-13,REG,Syracuse,L,79,86
26,2024-02-17,REG,Virginia Tech,W,96,81
27,2024-02-24,REG,Virginia,W,54,44
28,2024-02-26,REG,Miami (FL),W,75,71
29,2024-03-02,REG,NC State,W,79,70
30,2024-03-05,REG,Notre Dame,W,84,51
31,2024-03-09,REG,Duke (9),W,84,79
32,2024-03-14,CTOURN,Florida State,W,92,67
33,2024-03-15,CTOURN,Pittsburgh,W,72,65
34,2024-03-16,CTOURN,NC State,L,76,84
35,2024-03-21,NCAA,Wagner,W,90,62
36,2024-03-23,NCAA,Michigan State,W,85,69
37,2024-03-28,NCAA,Alabama (19),L,87,89
