G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,South Dakota Mines,W,101,48
2,2023-11-11,REG,Bradley,L,66,72
3,2023-11-14,REG,Southern Utah,W,93,84
4,2023-11-19,REG,Marshall,W,83,60
5,2023-11-20,REG,Akron,W,65,62
6,2023-11-21,REG,Stephen F. Austin,W,79,49
7,2023-11-28,REG,Saint Louis,W,81,76
8,2023-12-02,REG,UC Irvine,W,79,69
9,2023-12-06,REG,San Diego,W,108,81
10,2023-12-09,REG,Northwest Nazarene,W,84,53
11,2023-12-13,REG,Santa Clara,W,84,82
12,2023-12-16,REG,San Francisco,W,54,53
13,2023-12-22,REG,East Tennessee State,W,80,65
14,2024-01-02,REG,Air Force,W,88,60
15,2024-01-06,REG,Colorado State (13),W,77,72
16,2024-01-09,REG,Wyoming,W,83,59
17,2024-01-13,REG,Nevada-Las Vegas,W,87,86
18,2024-01-16,REG,New Mexico,L,86,99
19,2024-01-20,REG,Fresno State,W,83,62
20,2024-01-27,REG,Boise State,W,90,84
21,2024-01-30,REG,San Jose State,W,82,61
22,2024-02-03,REG,San Diego State,L,67,81
23,2024-02-06,REG,Nevada,L,63,77
24,2024-02-10,REG,Boise State,W,80,61
25,2024-02-14,REG,Wyoming,W,84,76
26,2024-02-17,REG,Colorado State,L,55,75
27,2024-02-20,REG,San Diego State (19),W,68,63
28,2024-02-27,REG,Fresno State,W,77,73
29,2024-03-01,REG,Air Force,W,72,60
30,2024-03-06,REG,San Jose State,W,90,70
31,2024-03-09,REG,New Mexico,W,87,85
32,2024-03-14,CTOURN,Fresno State,W,87,75
33,2024-03-15,CTOURN,San Diego State,L,70,86
34,2024-03-22,NCAA,TCU,W,88,72
35,2024-03-24,NCAA,Purdue (3),L,67,106
