G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Tarleton State,W,80,50
2,2023-11-10,REG,Florida,W,73,70
3,2023-11-14,REG,North Carolina A&T,W,80,51
4,2023-11-16,REG,Texas Southern,W,62,33
5,2023-11-20,REG,Wisconsin,L,41,65
6,2023-11-22,REG,West Virginia,W,56,54
7,2023-11-29,REG,Texas A&M (14),W,59,47
8,2023-12-02,REG,Syracuse,W,84,62
9,2023-12-05,REG,North Carolina Central,W,77,47
10,2023-12-16,REG,Northeastern,W,56,54
11,2023-12-19,REG,Memphis (23),L,54,77
12,2023-12-27,REG,Morgan State,W,79,44
13,2023-12-30,REG,Notre Dame,L,54,76
14,2024-01-03,REG,Louisville,W,77,53
15,2024-01-06,REG,NC State,L,60,76
16,2024-01-13,REG,Wake Forest,L,47,66
17,2024-01-17,REG,Virginia Tech,W,65,57
18,2024-01-20,REG,Georgia Tech,W,75,66
19,2024-01-24,REG,NC State,W,59,53
20,2024-01-27,REG,Louisville,W,69,52
21,2024-01-31,REG,Notre Dame,W,65,53
22,2024-02-03,REG,Clemson,W,66,65
23,2024-02-05,REG,Miami (FL),W,60,38
24,2024-02-10,REG,Florida State,W,80,76
25,2024-02-13,REG,Pittsburgh,L,63,74
26,2024-02-17,REG,Wake Forest,W,49,47
27,2024-02-19,REG,Virginia Tech,L,41,75
28,2024-02-24,REG,North Carolina (10),L,44,54
29,2024-02-28,REG,Boston College,W,72,68
30,2024-03-02,REG,Duke (10),L,48,73
31,2024-03-09,REG,Georgia Tech,W,72,57
32,2024-03-14,CTOURN,Boston College,W,66,60
33,2024-03-15,CTOURN,NC State,L,65,73
34,2024-03-19,NCAA,Colorado State,L,42,67
