G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Fordham,L,64,68
2,2023-11-09,REG,Molloy,W,83,48
3,2023-11-14,REG,Rhode Island,L,53,69
4,2023-11-18,REG,Seton Hall,L,51,72
5,2023-11-25,REG,NJIT,W,64,51
6,2023-11-28,REG,Providence,L,52,86
7,2023-12-02,REG,Stony Brook,W,60,59
8,2023-12-06,REG,Coppin State,W,62,59
9,2023-12-10,REG,Boston University,L,59,73
10,2023-12-17,REG,Fairfield,L,51,63
11,2023-12-22,REG,Gwynedd-Mercy,W,98,49
12,2023-12-30,REG,Manhattan,W,68,56
13,2024-01-04,REG,Long Island University,L,67,69
14,2024-01-06,REG,Saint Francis (PA),W,71,56
15,2024-01-15,REG,Stonehill,W,64,54
16,2024-01-19,REG,Merrimack,W,71,65
17,2024-01-21,REG,Sacred Heart,L,61,66
18,2024-01-25,REG,Merrimack,L,44,60
19,2024-01-27,REG,Central Connecticut State,L,68,69
20,2024-02-01,REG,Le Moyne,W,80,57
21,2024-02-03,REG,Stonehill,L,61,71
22,2024-02-08,REG,FDU,W,66,62
23,2024-02-15,REG,Saint Francis (PA),W,65,63
24,2024-02-17,REG,Sacred Heart,L,53,63
25,2024-02-22,REG,Central Connecticut State,L,72,73
26,2024-02-25,REG,Long Island University,W,72,57
27,2024-02-29,REG,Le Moyne,L,56,70
28,2024-03-02,REG,FDU,L,54,57
29,2024-03-06,CTOURN,Sacred Heart,W,60,57
30,2024-03-09,CTOURN,Central Connecticut State,W,66,56
31,2024-03-12,CTOURN,Merrimack,W,54,47
32,2024-03-19,NCAA,Howard,W,71,68
33,2024-03-21,NCAA,North Carolina (5),L,62,90
