G,Date,Type,Opponent,W/L,Tm,Opp
1,2023-11-06,REG,Idaho,W,84,59
2,2023-11-10,REG,Prairie View,W,83,65
3,2023-11-18,REG,Mississippi State,L,64,76
4,2023-11-19,REG,Rhode Island,W,78,57
5,2023-11-24,REG,Utah Tech,W,93,53
6,2023-11-27,REG,Eastern Washington,W,82,72
7,2023-12-02,REG,Portland State,W,71,61
8,2023-12-06,REG,UC Riverside,W,86,49
9,2023-12-10,REG,Grambling,W,83,65
10,2023-12-16,REG,Santa Clara,L,61,69
11,2023-12-21,REG,Boise State,W,66,61
12,2023-12-29,REG,Utah,L,58,80
13,2023-12-31,REG,Colorado,L,67,74
14,2024-01-04,REG,Oregon State,W,65,58
15,2024-01-06,REG,Oregon,L,84,89
16,2024-01-10,REG,Southern California,W,72,64
17,2024-01-13,REG,Arizona (8),W,73,70
18,2024-01-18,REG,Stanford,W,89,75
19,2024-01-20,REG,California,L,75,81
20,2024-01-24,REG,Utah,W,79,57
21,2024-01-27,REG,Colorado,W,78,69
22,2024-02-03,REG,Washington,W,90,87
23,2024-02-08,REG,Oregon State,W,64,58
24,2024-02-10,REG,Oregon,W,62,56
25,2024-02-15,REG,California,W,84,65
26,2024-02-17,REG,Stanford,W,72,59
27,2024-02-22,REG,Arizona (4),W,77,74
28,2024-02-24,REG,Arizona State,L,61,73
29,2024-02-29,REG,Southern California,W,75,72
30,2024-03-02,REG,UCLA,W,77,65
31,2024-03-07,REG,Washington,L,68,74
32,2024-03-14,CTOURN,Stanford,W,79,62
33,2024-03-15,CTOURN,Colorado,L,52,58
34,2024-03-21,NCAA,Drake,W,66,61
35,2024-03-23,NCAA,Iowa State (4),L,56,67
