G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Kentucky Wesleyan,W,90,64
2,2023-11-09,REG,Wichita State,L,61,71
3,2023-11-14,REG,Murray State,W,86,81
4,2023-11-18,REG,Kentucky State,W,95,75
5,2023-11-24,REG,Bowling Green State,W,72,65
6,2023-11-25,REG,Canisius,L,77,85
7,2023-11-26,REG,UNC Asheville,L,67,77
8,2023-11-29,REG,Campbellsville,W,101,77
9,2023-12-03,REG,Eastern Kentucky,W,79,69
10,2023-12-09,REG,Buffalo,W,82,65
11,2023-12-12,REG,Wright State,W,91,84
12,2023-12-16,REG,Austin Peay,W,65,64
13,2023-12-19,REG,California Baptist,W,73,70
14,2023-12-30,REG,Abilene Christian,W,86,84
15,2024-01-06,REG,Liberty,W,70,68
16,2024-01-10,REG,Sam Houston,L,74,78
17,2024-01-13,REG,Jacksonville State,W,80,69
18,2024-01-18,REG,New Mexico State,L,70,72
19,2024-01-20,REG,UTEP,L,87,93
20,2024-01-25,REG,Florida International,W,105,91
21,2024-02-01,REG,Sam Houston,L,77,79
22,2024-02-03,REG,Middle Tennessee,W,88,65
23,2024-02-07,REG,Louisiana Tech,W,81,76
24,2024-02-10,REG,Jacksonville State,W,70,59
25,2024-02-15,REG,UTEP,W,90,80
26,2024-02-17,REG,New Mexico State,W,72,58
27,2024-02-24,REG,Middle Tennessee,L,72,74
28,2024-02-28,REG,Louisiana Tech,L,84,90
29,2024-03-02,REG,Florida International,L,83,85
30,2024-03-09,REG,Liberty,L,79,82
31,2024-03-14,CTOURN,New Mexico State,W,89,69
32,2024-03-15,CTOURN,Middle Tennessee,W,85,54
33,2024-03-16,CTOURN,UTEP,W,78,71
34,2024-03-22,NCAA,Marquette (8),L,69,87
