G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Arkansas State,W,105,76
2,2023-11-10,REG,Tennessee (9),L,70,80
3,2023-11-14,REG,Providence,L,59,72
4,2023-11-17,REG,Robert Morris,W,78,68
5,2023-11-20,REG,Virginia (24),W,65,41
6,2023-11-22,REG,Southern Methodist,W,69,61
7,2023-11-27,REG,Western Illinois,W,71,49
8,2023-12-02,REG,Marquette (3),W,75,64
9,2023-12-05,REG,Michigan State,W,70,57
10,2023-12-09,REG,Arizona (1),L,73,98
11,2023-12-14,REG,Jacksonville State,W,75,60
12,2023-12-22,REG,Chicago State,W,80,53
13,2024-01-02,REG,Iowa,W,83,72
14,2024-01-06,REG,Nebraska,W,88,72
15,2024-01-10,REG,Ohio State,W,71,60
16,2024-01-13,REG,Northwestern,W,71,63
17,2024-01-16,REG,Penn State,L,83,87
18,2024-01-19,REG,Indiana,W,91,79
19,2024-01-23,REG,Minnesota,W,61,59
20,2024-01-26,REG,Michigan State,W,81,66
21,2024-02-01,REG,Nebraska,L,72,80
22,2024-02-04,REG,Purdue (2),L,69,75
23,2024-02-07,REG,Michigan,L,68,72
24,2024-02-10,REG,Rutgers,L,56,78
25,2024-02-13,REG,Ohio State,W,62,54
