G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Vassar,W,102,53
2,2023-11-10,REG,Gonzaga (11),L,71,86
3,2023-11-12,REG,Loyola Marymount,W,83,80
4,2023-11-17,REG,Colgate,W,68,50
5,2023-11-18,REG,Weber State,L,65,75
6,2023-11-19,REG,Gardner-Webb,W,71,70
7,2023-11-26,REG,Rhode Island,L,72,76
8,2023-11-29,REG,Stony Brook,W,79,71
9,2023-12-02,REG,Vermont,L,65,66
10,2023-12-06,REG,Fairfield,L,71,75
11,2023-12-08,REG,Colby-Sawyer,W,95,36
12,2023-12-11,REG,Quinnipiac,W,73,66
13,2023-12-22,REG,Kansas (2),L,60,75
14,2023-12-30,REG,Santa Clara,W,66,58
15,2024-01-03,REG,Howard,W,86,78
16,2024-01-09,REG,Brown,W,80,70
17,2024-01-15,REG,Columbia,W,89,70
18,2024-01-20,REG,Dartmouth,W,76,51
19,2024-01-27,REG,Harvard,W,78,65
20,2024-02-02,REG,Princeton,W,70,64
21,2024-02-03,REG,Pennsylvania,W,74,58
22,2024-02-10,REG,Cornell,W,80,78
23,2024-02-16,REG,Pennsylvania,W,76,62
24,2024-02-17,REG,Princeton,L,62,73
25,2024-02-23,REG,Cornell,L,62,65
26,2024-02-24,REG,Columbia,W,84,76
27,2024-03-01,REG,Dartmouth,W,80,56
28,2024-03-02,REG,Harvard,W,80,60
29,2024-03-09,REG,Brown,L,81,84
30,2024-03-16,CTOURN,Cornell,W,69,57
31,2024-03-17,CTOURN,Brown,W,62,61
32,2024-03-22,NCAA,Auburn (7),W,78,76
33,2024-03-24,NCAA,San Diego State (24),L,57,85
